time,lat,lon
2013-08-08 06:09:00,-48.5999235,-125.999823
2013-08-08 06:12:00,-48.5998175,-125.999909
2013-08-08 06:15:00,-48.59976733,-125.9999685
2013-08-08 06:18:00,-48.5997885,-125.9999583
2013-08-08 06:21:00,-48.5997825,-125.9999675
2013-08-08 06:27:00,-48.59981667,-125.9999523
2013-08-08 06:30:00,-48.59988183,-125.999879
2013-08-08 06:33:00,-48.599912,-125.9998558
2013-08-08 06:36:00,-48.599929,-125.9998128
2013-08-08 06:39:00,-48.59995983,-125.9997822
2013-08-08 06:42:00,-48.60003717,-125.9996995
2013-08-08 06:45:00,-48.60009633,-125.9996135
2013-08-08 06:51:00,-48.60010117,-125.9996058
2013-08-08 06:54:00,-48.60012783,-125.9995597
2013-08-08 06:57:00,-48.60017267,-125.9995273
2013-08-08 07:00:00,-48.60017083,-125.9995233
2013-08-08 07:03:00,-48.60020433,-125.9995193
2013-08-08 07:06:00,-48.60016467,-125.9995367
2013-08-08 07:12:00,-48.60010483,-125.9996057
2013-08-08 07:15:00,-48.6000465,-125.9996773
2013-08-08 07:18:00,-48.599978,-125.9997283
2013-08-08 07:21:00,-48.59993517,-125.9997962
2013-08-08 07:24:00,-48.5999055,-125.999831
2013-08-08 07:27:00,-48.5998795,-125.9998725
2013-08-08 07:33:00,-48.59989383,-125.9998422
2013-08-08 07:36:00,-48.59998367,-125.999733
2013-08-08 07:39:00,-48.6000555,-125.9996522
2013-08-08 07:42:00,-48.6000975,-125.9996
2013-08-08 07:45:00,-48.60012583,-125.9995838
2013-08-08 07:48:00,-48.600096,-125.9996053
2013-08-08 07:51:00,-48.60009417,-125.999623
2013-08-08 07:57:00,-48.60017467,-125.9995387
2013-08-08 08:00:00,-48.60024333,-125.9994537
2013-08-08 08:03:00,-48.60025767,-125.9994385
2013-08-08 08:06:00,-48.60024067,-125.9994692
2013-08-08 08:09:00,-48.60024033,-125.9994862
2013-08-08 08:12:00,-48.6002905,-125.9994142
2013-08-08 08:15:00,-48.6003805,-125.9993215
2013-08-08 08:21:00,-48.6004725,-125.999234
2013-08-08 08:24:00,-48.6006315,-125.9991187
2013-08-08 08:27:00,-48.600622,-125.9990308
2013-08-08 08:30:00,-48.6004375,-125.9990298
2013-08-08 08:33:00,-48.60021217,-125.9990303
2013-08-08 08:36:00,-48.60003883,-125.9990208
2013-08-08 08:39:00,-48.59985233,-125.9990647
2013-08-08 08:45:00,-48.59953717,-125.9990893
2013-08-08 08:48:00,-48.59932933,-125.9992112
2013-08-08 08:51:00,-48.59922733,-125.99928
2013-08-08 08:54:00,-48.598919,-125.9995722
2013-08-08 08:57:00,-48.598683,-125.9997952
2013-08-08 09:00:00,-48.59870733,-125.9999335
2013-08-08 09:03:00,-48.59945083,-126.0002808
2013-08-08 09:09:00,-48.6002905,-126.000699
2013-08-08 09:12:00,-48.60013733,-126.0008523
2013-08-08 09:15:00,-48.60010367,-126.0009482
2013-08-08 09:18:00,-48.60004317,-126.0010343
2013-08-08 09:21:00,-48.599999,-126.0011163
2013-08-08 09:24:00,-48.5999935,-126.0011992
2013-08-08 09:27:00,-48.600027,-126.0010893
2013-08-08 09:33:00,-48.60006067,-126.0010317
2013-08-08 09:36:00,-48.60004517,-126.0010247
2013-08-08 09:39:00,-48.60003417,-126.0010638
2013-08-08 09:42:00,-48.60000983,-126.0011793
