time,lat,lon,depth,Prochlorococcus MIT9313_abund,Candidatus Actinomarina_abund,Clade Ia_abund,NS5 marine group_abund,NS4 marine group_abund,SUP05 cluster_abund,Synechococcus CC9902_abund,Marinoscillum_abund,NS2b marine group_abund,SAR92 clade_abund
2012-04-11,-51.0557,-66.4633,20.0,0.00045269352648257124,0.331889025415508,0.05335316562116019,0.09215546789109487,0.02017719718036604,0.02218198279764599,0.0023928086399793054,0.0019401151134967344,0.012481407230162323,0.008471835995602407
2012-04-12,-47.9412,-61.9227,20.0,0.00016248273620927777,0.1358355674709562,0.061337232919002366,0.09692095214883419,0.045413924770493136,0.02981558209440247,0.0043057925095458605,0.004062068405231944,0.01819806645543911,0.007636688601836054
2012-04-13,-45.0943,-58.1635,20.0,0.005613908004346253,0.12628274779669202,0.058795122540142464,0.10587951225401422,0.056621996861040684,0.028250633828323074,0.028854279850295796,0.0012072920439454304,0.009416877942774356,0.0033200531208499333
2012-04-15,-39.7982,-50.577,20.0,0.10592808551992228,0.1793974732750243,0.08736637512147716,0.032944606413994174,0.03867832847424684,0.0026239067055393588,0.010689990281827016,0.010301263362487852,0.011370262390670552,0.005733722060252672
2012-04-15,-34.2385,-42.965,20.0,0.24602780536246277,0.17707298907646477,0.068954816285998,0.04332174776564051,0.012164846077457794,0.0001861966236345581,0.0034756703078450838,0.013964746772591859,0.0001861966236345581,0.0011171797418073489
2012-04-18,-30.9992,-38.9948,20.0,0.22557425637768605,0.1805511449842984,0.05038636604212978,0.04911612152005927,0.024769768180374723,0.0,0.0038813027063265234,0.0077273208425955335,0.001199675381955471,0.0015878056525881232
2012-04-19,-25.9983,-39.0007,20.0,0.3113933389544688,0.16929279089376054,0.03622997470489039,0.026401770657672848,0.009696458684654302,0.0,0.0038733136593591907,0.004927276559865093,0.00031618887015177064,0.0018971332209106238
2012-04-20,-24.7537,-38.0183,20.0,0.25864728428531364,0.15747405814714402,0.027647938674394697,0.046368140600168285,0.021875292137982612,0.0,0.0006543890810507619,0.0070580536599046464,0.0002570814246985136,0.003482284752734412
2012-04-21,-21.2293,-35.402,20.0,0.2419131771033423,0.13887821744141374,0.032769880906646176,0.03784095274683058,0.022281982328082983,0.00015366884364195158,7.683442182097579e-05,0.00568574721475221,0.00042258932001536687,0.0031886285055704954
2012-04-22,-18.6455,-33.7298,20.0,0.3029620823109807,0.09769053701970502,0.02544709483216554,0.029646118432701794,0.03295980573192017,0.0,0.000505906457895935,0.005286722485012521,0.0004806111350011383,0.006425012015278375
2012-04-24,-15.5217,-31.8615,20.0,0.2423364522569784,0.1438750342559605,0.034255960537133465,0.0229025564733978,0.025212386955330224,0.0,0.0,0.0076341854911326,7.829933837059077e-05,0.0043847629487530826
2012-04-25,-11.8977,-29.7515,20.0,0.2685057471264368,0.10499178981937606,0.034876847290640396,0.036091954022988496,0.02587848932676519,0.00013136288998357964,0.0,0.008505747126436782,9.852216748768474e-05,0.004499178981937603
2012-04-26,-8.2145,-27.9922,20.0,0.28619702631788185,0.12542736741671306,0.030849964220402322,0.03339429116641488,0.023097718056770293,0.0,7.951021706289258e-05,0.0036177148763616124,0.00011926532559433889,0.005764490737059713
2012-04-27,-5.0972,-26.639,20.0,0.3559811965312856,0.14415019416625302,0.0734328009576922,0.02032176121930567,0.00937253642442115,0.00011679173114543491,0.005080440304826418,0.002014657362258752,0.00029197932786358724,0.0009927297147361966
2012-04-28,-1.4865,-25.318,20.0,0.1719764641321911,0.20093899576232432,0.03719398798817109,0.04844364501082284,0.02140178653089845,0.0,0.0009450931374043477,0.005609585073625803,0.00024389500320112203,0.0017072650224078537
2012-04-29,6.059,-23.4817,20.0,0.11726677577741408,0.23490180032733224,0.042348608837970536,0.03138297872340425,0.03760229132569558,0.0006137479541734861,0.021685761047463177,0.013747954173486088,0.0019639934533551557,0.0009819967266775777
2012-04-30,9.4075,-22.7722,20.0,0.1599908654944051,0.20662251655629138,0.05197533683489381,0.034482758620689655,0.0312400091345056,0.0010047956154373143,0.02142041562000457,0.010230646266270838,0.0004110527517698104,0.0038364923498515643
2012-05-01,12.5898,-22.1955,20.0,0.025388807656520008,0.09912933670078426,0.07141432938987105,0.13305862023129073,0.0909544064867739,0.002824671008906022,0.024956799149275555,0.009736807124817224,0.004220390801541938,0.0018277282998803669
2012-05-02,16.9043,-21.5685,20.0,0.001110420182997246,0.007506440437061385,0.0026650084391933895,0.03357910633383673,0.009238695922537088,0.09331971217908858,0.00017766722927955937,0.007684107666340943,0.01674513635959847,0.0
2012-05-03,20.7047,-21.17,20.0,0.09404376784015224,0.08137012369172217,0.10591817316841103,0.0624548049476689,0.02207421503330162,0.0031208372978116083,0.015033301617507135,0.0012940057088487154,0.0015984776403425312,0.005480494766888677
2012-05-04,24.3958,-19.8675,20.0,0.026806235635055468,0.16463475567103028,0.10012990906365546,0.07764564804636752,0.036099730188867786,0.007394823623463576,0.031253122814030185,0.001299090636554412,0.004996502448286201,0.003572499250524633
2012-05-05,26.3482,-17.312,20.0,0.14521624359249824,0.09266705546517696,0.09843764388102763,0.025537923202062683,0.015347309616624208,0.003928911261855797,0.015132447281991467,0.0004911139077319746,0.0004911139077319746,0.005617115319684459
2012-05-07,33.3978,-13.5343,20.0,0.15902104862554522,0.1299803858426769,0.09165959190842823,0.028747914166105563,0.016569571708773677,0.002166339764044615,0.006118446090342225,0.0019321408706343868,0.0020492403173395005,0.009982727831610994
