lat,lon
21.8753045556,-158.30226599
22.6981085508,-158.21334611
23.3938608083,-158.011134175
23.5697757583,-157.955360317
23.586659975,-157.941856075
23.8293889167,-157.958552425
24.6519261583,-157.998373267
25.4942525083,-157.999309367
26.3898537778,-157.999796308
27.2844484454,-157.999934941
28.0298904083,-158.00081135
28.06599245,-158.008365383
28.1272287917,-158.004007367
28.6027612941,-157.999030992
29.3492548417,-158.003962417
29.8116756333,-158.010005983
30.7079483,-157.996872958
31.6365374667,-158.003676233
32.4618551228,-157.99441814
32.6643587917,-157.960742958
32.6919270917,-157.978382633
33.1552017143,-157.999582588
33.9567707143,-158.002444521
34.707938675,-157.998925158
35.5583291167,-158.003155775
36.4840634202,-157.993436462
37.220755925,-157.991789525
37.687797325,-157.999949533
37.537927175,-157.999153892
37.044521973,-158.000516432
36.596171563,-158.000630454
36.6482187059,-157.934790672
36.6036126134,-157.963462571
36.2872999244,-158.000621294
35.574092725,-157.991140983
35.5362707865,-157.919024337
36.0057000917,-157.992923492
36.4943519832,-157.968089109
36.106811,-157.998899092
35.6436373083,-157.998304892
34.94435835,-158.001967967
34.0214858655,-158.003640807
33.1735991417,-158.008748308
32.3943470804,-157.992001848
31.5095587917,-158.001536858
30.60436725,-157.998292017
29.794630395,-158.005426597
29.239829625,-158.00076265
28.4589653417,-158.000489
27.1898962437,-158.00881563
26.3932562583,-158.008975167
26.2995252243,-158.111945084
26.3314605,-158.131051383
25.6895296333,-158.003233933
24.874933775,-157.999684008
23.9109449167,-158.000550775
23.1036121176,-158.000118686
