time,lat,lon,depth,NO3
2017-06-03,23.0,-157.5,2225.07788086,40.4137115479
2017-06-03,23.0,-157.5,2533.3359375,39.7323646545
2017-06-03,23.0,-157.5,2865.70288086,38.9174156189
2017-06-03,23.0,-157.5,3220.82006836,38.1192359924
2017-06-03,23.0,-157.5,3597.03198242,37.423500061
2017-06-03,23.0,-157.5,3992.48388672,36.9100189209
2017-06-03,23.0,-157.5,4405.22412109,36.7926483154
2017-06-03,23.0,-157.5,4833.29101562,
2017-06-03,23.0,-157.5,5274.78417969,
2017-06-03,23.0,-157.5,5727.91699219,
2017-06-03,23.5,-158.0,0.494024991989,5.14943963026e-07
2017-06-03,23.5,-158.0,1.54137504101,5.14943963026e-07
2017-06-03,23.5,-158.0,2.64566898346,5.14943963026e-07
2017-06-03,23.5,-158.0,3.81949496269,5.14943963026e-07
2017-06-03,23.5,-158.0,5.07822418213,5.14943963026e-07
2017-06-03,23.5,-158.0,6.44061422348,5.15120518685e-07
2017-06-03,23.5,-158.0,7.92956018448,5.16131535733e-07
2017-06-03,23.5,-158.0,9.5729970932,5.1732178008e-07
2017-06-03,23.5,-158.0,11.404999733,5.18691479101e-07
2017-06-03,23.5,-158.0,13.4671401978,5.22286995874e-07
2017-06-03,23.5,-158.0,15.8100700378,5.27119482285e-07
2017-06-03,23.5,-158.0,18.4955596924,5.35684478109e-07
2017-06-03,23.5,-158.0,21.5988197327,5.49237086034e-07
2017-06-03,23.5,-158.0,25.2114105225,5.73213128519e-07
2017-06-03,23.5,-158.0,29.4447307587,6.25774987384e-07
2017-06-03,23.5,-158.0,34.4341506958,7.42153986266e-07
2017-06-03,23.5,-158.0,40.3440513611,9.1640259825e-07
2017-06-03,23.5,-158.0,47.3736915588,1.15684281354e-06
2017-06-03,23.5,-158.0,55.764289856,1.45081537539e-06
2017-06-03,23.5,-158.0,65.8072662354,1.88808166968e-06
2017-06-03,23.5,-158.0,77.8538513184,2.80629251392e-06
2017-06-03,23.5,-158.0,92.3260726929,1.66738063854e-05
2017-06-03,23.5,-158.0,109.729301453,0.00139370409306
2017-06-03,23.5,-158.0,130.666000366,0.383131474257
2017-06-03,23.5,-158.0,155.850692749,1.60109484196
2017-06-03,23.5,-158.0,186.125595093,3.38835096359
2017-06-03,23.5,-158.0,222.475204468,5.79038476944
2017-06-03,23.5,-158.0,266.040313721,9.17609977722
2017-06-03,23.5,-158.0,318.127410889,13.7874507904
2017-06-03,23.5,-158.0,380.213012695,19.8374023438
2017-06-03,23.5,-158.0,453.937713623,26.6326198578
2017-06-03,23.5,-158.0,541.088928223,33.1403846741
2017-06-03,23.5,-158.0,643.566772461,38.1117019653
2017-06-03,23.5,-158.0,763.333129883,41.1063842773
2017-06-03,23.5,-158.0,902.339294434,42.2580451965
2017-06-03,23.5,-158.0,1062.43994141,42.536403656
2017-06-03,23.5,-158.0,1245.29101562,42.4385299683
2017-06-03,23.5,-158.0,1452.25097656,42.1320381165
2017-06-03,23.5,-158.0,1684.28405762,41.5539283752
2017-06-03,23.5,-158.0,1941.89294434,40.8895301819
2017-06-03,23.5,-158.0,2225.07788086,40.1569900513
2017-06-03,23.5,-158.0,2533.3359375,39.3602867126
2017-06-03,23.5,-158.0,2865.70288086,38.6419334412
2017-06-03,23.5,-158.0,3220.82006836,38.0855674744
2017-06-03,23.5,-158.0,3597.03198242,37.3904762268
2017-06-03,23.5,-158.0,3992.48388672,36.9624595642
2017-06-03,23.5,-158.0,4405.22412109,
2017-06-03,23.5,-158.0,4833.29101562,
2017-06-03,23.5,-158.0,5274.78417969,
2017-06-03,23.5,-158.0,5727.91699219,
2017-06-03,23.5,-157.5,0.494024991989,5.41297595191e-07
2017-06-03,23.5,-157.5,1.54137504101,5.41297595191e-07
2017-06-03,23.5,-157.5,2.64566898346,5.41297595191e-07
2017-06-03,23.5,-157.5,3.81949496269,5.41297595191e-07
2017-06-03,23.5,-157.5,5.07822418213,5.41297595191e-07
2017-06-03,23.5,-157.5,6.44061422348,5.41297595191e-07
2017-06-03,23.5,-157.5,7.92956018448,5.4237131053e-07
2017-06-03,23.5,-157.5,9.5729970932,5.42545762983e-07
2017-06-03,23.5,-157.5,11.404999733,5.43795920294e-07
2017-06-03,23.5,-157.5,13.4671401978,5.46306864635e-07
2017-06-03,23.5,-157.5,15.8100700378,5.49916023829e-07
2017-06-03,23.5,-157.5,18.4955596924,5.56283737296e-07
2017-06-03,23.5,-157.5,21.5988197327,5.66262826851e-07
2017-06-03,23.5,-157.5,25.2114105225,5.83282201205e-07
2017-06-03,23.5,-157.5,29.4447307587,6.13163251728e-07
2017-06-03,23.5,-157.5,34.4341506958,6.78300239088e-07
2017-06-03,23.5,-157.5,40.3440513611,8.19820513698e-07
2017-06-03,23.5,-157.5,47.3736915588,1.08322603865e-06
2017-06-03,23.5,-157.5,55.764289856,1.44563102822e-06
2017-06-03,23.5,-157.5,65.8072662354,1.89307854725e-06
2017-06-03,23.5,-157.5,77.8538513184,2.85190708382e-06
2017-06-03,23.5,-157.5,92.3260726929,2.29254837905e-05
2017-06-03,23.5,-157.5,109.729301453,0.00268299691379
2017-06-03,23.5,-157.5,130.666000366,0.481007248163
2017-06-03,23.5,-157.5,155.850692749,1.77601921558
2017-06-03,23.5,-157.5,186.125595093,3.4598197937
2017-06-03,23.5,-157.5,222.475204468,5.46907997131
2017-06-03,23.5,-157.5,266.040313721,8.63688087463
2017-06-03,23.5,-157.5,318.127410889,13.9126796722
2017-06-03,23.5,-157.5,380.213012695,20.5711841583
2017-06-03,23.5,-157.5,453.937713623,27.4382724762
2017-06-03,23.5,-157.5,541.088928223,33.5782814026
2017-06-03,23.5,-157.5,643.566772461,38.3758583069
2017-06-03,23.5,-157.5,763.333129883,41.3913230896
2017-06-03,23.5,-157.5,902.339294434,42.4385299683
2017-06-03,23.5,-157.5,1062.43994141,42.6344070435
2017-06-03,23.5,-157.5,1245.29101562,42.4385299683
2017-06-03,23.5,-157.5,1452.25097656,42.1320610046
2017-06-03,23.5,-157.5,1684.28405762,41.5397872925
2017-06-03,23.5,-157.5,1941.89294434,40.7016830444
2017-06-03,23.5,-157.5,2225.07788086,39.8941650391
2017-06-03,23.5,-157.5,2533.3359375,39.1928749084
2017-06-03,23.5,-157.5,2865.70288086,38.6418914795
2017-06-03,23.5,-157.5,3220.82006836,37.9235725403
2017-06-03,23.5,-157.5,3597.03198242,37.3044471741
2017-06-03,23.5,-157.5,3992.48388672,36.8774185181
2017-06-03,23.5,-157.5,4405.22412109,
2017-06-03,23.5,-157.5,4833.29101562,
2017-06-03,23.5,-157.5,5274.78417969,
2017-06-03,23.5,-157.5,5727.91699219,
2017-06-03,24.0,-158.0,0.494024991989,5.52451808744e-07
2017-06-03,24.0,-158.0,1.54137504101,5.52451808744e-07
