time,lat,lon,depth,PP
2017-06-03,23.0,-157.5,1941.89294434,2.30528429679e-10
2017-06-03,23.0,-157.5,2225.07788086,2.30528429679e-10
2017-06-03,23.0,-157.5,2533.3359375,2.30528429679e-10
2017-06-03,23.0,-157.5,2865.70288086,2.30528429679e-10
2017-06-03,23.0,-157.5,3220.82006836,2.30528429679e-10
2017-06-03,23.0,-157.5,3597.03198242,2.30528429679e-10
2017-06-03,23.0,-157.5,3992.48388672,2.30528429679e-10
2017-06-03,23.0,-157.5,4405.22412109,2.30528429679e-10
2017-06-03,23.0,-157.5,4833.29101562,
2017-06-03,23.0,-157.5,5274.78417969,
2017-06-03,23.0,-157.5,5727.91699219,
2017-06-03,23.5,-158.0,0.494024991989,0.000594966986682
2017-06-03,23.5,-158.0,1.54137504101,0.000592235010117
2017-06-03,23.5,-158.0,2.64566898346,0.000588158844039
2017-06-03,23.5,-158.0,3.81949496269,0.000582765846048
2017-06-03,23.5,-158.0,5.07822418213,0.000577412545681
2017-06-03,23.5,-158.0,6.44061422348,0.00056950119324
2017-06-03,23.5,-158.0,7.92956018448,0.000561685301363
2017-06-03,23.5,-158.0,9.5729970932,0.000552704732399
2017-06-03,23.5,-158.0,11.404999733,0.000542617228348
2017-06-03,23.5,-158.0,13.4671401978,0.000531488796696
2017-06-03,23.5,-158.0,15.8100700378,0.000519389170222
2017-06-03,23.5,-158.0,18.4955596924,0.000506231444888
2017-06-03,23.5,-158.0,21.5988197327,0.000490336562507
2017-06-03,23.5,-158.0,25.2114105225,0.000471680192277
2017-06-03,23.5,-158.0,29.4447307587,0.000450035906397
2017-06-03,23.5,-158.0,34.4341506958,0.000428134691902
2017-06-03,23.5,-158.0,40.3440513611,0.000404375343351
2017-06-03,23.5,-158.0,47.3736915588,0.000378689961508
2017-06-03,23.5,-158.0,55.764289856,0.00034910973045
2017-06-03,23.5,-158.0,65.8072662354,0.000314921635436
2017-06-03,23.5,-158.0,77.8538513184,0.000285631249426
2017-06-03,23.5,-158.0,92.3260726929,0.000287566101179
2017-06-03,23.5,-158.0,109.729301453,0.000531282741576
2017-06-03,23.5,-158.0,130.666000366,0.002747051185
2017-06-03,23.5,-158.0,155.850692749,0.000947949942201
2017-06-03,23.5,-158.0,186.125595093,0.000174008775502
2017-06-03,23.5,-158.0,222.475204468,2.75334587059e-05
2017-06-03,23.5,-158.0,266.040313721,2.98916711472e-06
2017-06-03,23.5,-158.0,318.127410889,2.98338932225e-07
2017-06-03,23.5,-158.0,380.213012695,2.30528429679e-10
2017-06-03,23.5,-158.0,453.937713623,2.30528429679e-10
2017-06-03,23.5,-158.0,541.088928223,2.30528429679e-10
2017-06-03,23.5,-158.0,643.566772461,2.30528429679e-10
2017-06-03,23.5,-158.0,763.333129883,2.30528429679e-10
2017-06-03,23.5,-158.0,902.339294434,2.30528429679e-10
2017-06-03,23.5,-158.0,1062.43994141,2.30528429679e-10
2017-06-03,23.5,-158.0,1245.29101562,2.30528429679e-10
2017-06-03,23.5,-158.0,1452.25097656,2.30528429679e-10
2017-06-03,23.5,-158.0,1684.28405762,2.30528429679e-10
2017-06-03,23.5,-158.0,1941.89294434,2.30528429679e-10
2017-06-03,23.5,-158.0,2225.07788086,2.30528429679e-10
2017-06-03,23.5,-158.0,2533.3359375,2.30528429679e-10
2017-06-03,23.5,-158.0,2865.70288086,2.30528429679e-10
2017-06-03,23.5,-158.0,3220.82006836,2.30528429679e-10
2017-06-03,23.5,-158.0,3597.03198242,2.30528429679e-10
2017-06-03,23.5,-158.0,3992.48388672,2.30528429679e-10
2017-06-03,23.5,-158.0,4405.22412109,
2017-06-03,23.5,-158.0,4833.29101562,
2017-06-03,23.5,-158.0,5274.78417969,
2017-06-03,23.5,-158.0,5727.91699219,
2017-06-03,23.5,-157.5,0.494024991989,0.000588558090385
2017-06-03,23.5,-157.5,1.54137504101,0.000586044683587
2017-06-03,23.5,-157.5,2.64566898346,0.000582011591177
2017-06-03,23.5,-157.5,3.81949496269,0.000576676044147
2017-06-03,23.5,-157.5,5.07822418213,0.000571377575397
2017-06-03,23.5,-157.5,6.44061422348,0.000563539855648
2017-06-03,23.5,-157.5,7.92956018448,0.000555807375349
2017-06-03,23.5,-157.5,9.5729970932,0.000546920578927
2017-06-03,23.5,-157.5,11.404999733,0.000536061474122
2017-06-03,23.5,-157.5,13.4671401978,0.000526097370312
2017-06-03,23.5,-157.5,15.8100700378,0.000514288665727
2017-06-03,23.5,-157.5,18.4955596924,0.000500447466038
2017-06-03,23.5,-157.5,21.5988197327,0.000485848664539
2017-06-03,23.5,-157.5,25.2114105225,0.000470437662443
2017-06-03,23.5,-157.5,29.4447307587,0.000452394480817
2017-06-03,23.5,-157.5,34.4341506958,0.000431916385423
2017-06-03,23.5,-157.5,40.3440513611,0.000409544736613
2017-06-03,23.5,-157.5,47.3736915588,0.000381035060855
2017-06-03,23.5,-157.5,55.764289856,0.000340299360687
2017-06-03,23.5,-157.5,65.8072662354,0.000303856504615
2017-06-03,23.5,-157.5,77.8538513184,0.000280770211248
2017-06-03,23.5,-157.5,92.3260726929,0.000290447671432
2017-06-03,23.5,-157.5,109.729301453,0.000615319586359
2017-06-03,23.5,-157.5,130.666000366,0.00267714262009
2017-06-03,23.5,-157.5,155.850692749,0.000909874972422
2017-06-03,23.5,-157.5,186.125595093,0.000157509930432
2017-06-03,23.5,-157.5,222.475204468,2.62364392256e-05
2017-06-03,23.5,-157.5,266.040313721,3.2315806493e-06
2017-06-03,23.5,-157.5,318.127410889,3.15202470347e-07
2017-06-03,23.5,-157.5,380.213012695,2.30528429679e-10
2017-06-03,23.5,-157.5,453.937713623,2.30528429679e-10
2017-06-03,23.5,-157.5,541.088928223,2.30528429679e-10
2017-06-03,23.5,-157.5,643.566772461,2.30528429679e-10
2017-06-03,23.5,-157.5,763.333129883,2.30528429679e-10
2017-06-03,23.5,-157.5,902.339294434,2.30528429679e-10
2017-06-03,23.5,-157.5,1062.43994141,2.30528429679e-10
2017-06-03,23.5,-157.5,1245.29101562,2.30528429679e-10
2017-06-03,23.5,-157.5,1452.25097656,2.30528429679e-10
2017-06-03,23.5,-157.5,1684.28405762,2.30528429679e-10
2017-06-03,23.5,-157.5,1941.89294434,2.30528429679e-10
2017-06-03,23.5,-157.5,2225.07788086,2.30528429679e-10
2017-06-03,23.5,-157.5,2533.3359375,2.30528429679e-10
2017-06-03,23.5,-157.5,2865.70288086,2.30528429679e-10
2017-06-03,23.5,-157.5,3220.82006836,2.30528429679e-10
2017-06-03,23.5,-157.5,3597.03198242,2.30528429679e-10
2017-06-03,23.5,-157.5,3992.48388672,2.30528429679e-10
2017-06-03,23.5,-157.5,4405.22412109,
2017-06-03,23.5,-157.5,4833.29101562,
2017-06-03,23.5,-157.5,5274.78417969,
2017-06-03,23.5,-157.5,5727.91699219,
2017-06-03,24.0,-158.0,0.494024991989,0.000590721901972
2017-06-03,24.0,-158.0,1.54137504101,0.000588006805629
2017-06-03,24.0,-158.0,2.64566898346,0.000582639651839
2017-06-03,24.0,-158.0,3.81949496269,0.00057729834225
2017-06-03,24.0,-158.0,5.07822418213,0.000570679141674
2017-06-03,24.0,-158.0,6.44061422348,0.000562849629205
2017-06-03,24.0,-158.0,7.92956018448,0.000555126345716
2017-06-03,24.0,-158.0,9.5729970932,0.000544994953088
2017-06-03,24.0,-158.0,11.404999733,0.000533816113602
2017-06-03,24.0,-158.0,13.4671401978,0.00052285665879
2017-06-03,24.0,-158.0,15.8100700378,0.00050977797946
2017-06-03,24.0,-158.0,18.4955596924,0.000495844462421
2017-06-03,24.0,-158.0,21.5988197327,0.000480075337691
2017-06-03,24.0,-158.0,25.2114105225,0.000461644667666
2017-06-03,24.0,-158.0,29.4447307587,0.000442901451606
2017-06-03,24.0,-158.0,34.4341506958,0.000422983110184
2017-06-03,24.0,-158.0,40.3440513611,0.000402128644055
2017-06-03,24.0,-158.0,47.3736915588,0.000380562647479
2017-06-03,24.0,-158.0,55.764289856,0.000360145815648
2017-06-03,24.0,-158.0,65.8072662354,0.000319057086017
2017-06-03,24.0,-158.0,77.8538513184,0.000288789655315
