time,lat,lon,depth,CHL
2017-06-03,23.0,-157.5,2865.70288086,0.00435542268679
2017-06-03,23.0,-157.5,3220.82006836,0.00435542268679
2017-06-03,23.0,-157.5,3597.03198242,0.00435542268679
2017-06-03,23.0,-157.5,3992.48388672,0.00435542268679
2017-06-03,23.0,-157.5,4405.22412109,0.00435542268679
2017-06-03,23.0,-157.5,4833.29101562,
2017-06-03,23.0,-157.5,5274.78417969,
2017-06-03,23.0,-157.5,5727.91699219,
2017-06-03,23.5,-158.0,0.494024991989,0.0353779792786
2017-06-03,23.5,-158.0,1.54137504101,0.0353779792786
2017-06-03,23.5,-158.0,2.64566898346,0.0353779792786
2017-06-03,23.5,-158.0,3.81949496269,0.0353779792786
2017-06-03,23.5,-158.0,5.07822418213,0.0353779792786
2017-06-03,23.5,-158.0,6.44061422348,0.0353779792786
2017-06-03,23.5,-158.0,7.92956018448,0.0353891775012
2017-06-03,23.5,-158.0,9.5729970932,0.0354550667107
2017-06-03,23.5,-158.0,11.404999733,0.0354595296085
2017-06-03,23.5,-158.0,13.4671401978,0.0354707501829
2017-06-03,23.5,-158.0,15.8100700378,0.0355360247195
2017-06-03,23.5,-158.0,18.4955596924,0.0356171801686
2017-06-03,23.5,-158.0,21.5988197327,0.0357061251998
2017-06-03,23.5,-158.0,25.2114105225,0.0358701609075
2017-06-03,23.5,-158.0,29.4447307587,0.0361837372184
2017-06-03,23.5,-158.0,34.4341506958,0.0368325002491
2017-06-03,23.5,-158.0,40.3440513611,0.0378765687346
2017-06-03,23.5,-158.0,47.3736915588,0.039681583643
2017-06-03,23.5,-158.0,55.764289856,0.0424756631255
2017-06-03,23.5,-158.0,65.8072662354,0.0462597832084
2017-06-03,23.5,-158.0,77.8538513184,0.0507867895067
2017-06-03,23.5,-158.0,92.3260726929,0.0589189045131
2017-06-03,23.5,-158.0,109.729301453,0.097547262907
2017-06-03,23.5,-158.0,130.666000366,0.257252156734
2017-06-03,23.5,-158.0,155.850692749,0.244932204485
2017-06-03,23.5,-158.0,186.125595093,0.177055448294
2017-06-03,23.5,-158.0,222.475204468,0.121756181121
2017-06-03,23.5,-158.0,266.040313721,0.0652447789907
2017-06-03,23.5,-158.0,318.127410889,0.0293833110482
2017-06-03,23.5,-158.0,380.213012695,0.0130403228104
2017-06-03,23.5,-158.0,453.937713623,0.00662094075233
2017-06-03,23.5,-158.0,541.088928223,0.00486330315471
2017-06-03,23.5,-158.0,643.566772461,0.00443620514125
2017-06-03,23.5,-158.0,763.333129883,0.00436044484377
2017-06-03,23.5,-158.0,902.339294434,0.00435542268679
2017-06-03,23.5,-158.0,1062.43994141,0.00435542268679
2017-06-03,23.5,-158.0,1245.29101562,0.00435542268679
2017-06-03,23.5,-158.0,1452.25097656,0.00435542268679
2017-06-03,23.5,-158.0,1684.28405762,0.00435542268679
2017-06-03,23.5,-158.0,1941.89294434,0.00435542268679
2017-06-03,23.5,-158.0,2225.07788086,0.00435542268679
2017-06-03,23.5,-158.0,2533.3359375,0.00435542268679
2017-06-03,23.5,-158.0,2865.70288086,0.00435542268679
2017-06-03,23.5,-158.0,3220.82006836,0.00435542268679
2017-06-03,23.5,-158.0,3597.03198242,0.00435542268679
2017-06-03,23.5,-158.0,3992.48388672,0.00435542268679
2017-06-03,23.5,-158.0,4405.22412109,
2017-06-03,23.5,-158.0,4833.29101562,
2017-06-03,23.5,-158.0,5274.78417969,
2017-06-03,23.5,-158.0,5727.91699219,
2017-06-03,23.5,-157.5,0.494024991989,0.0355466492474
2017-06-03,23.5,-157.5,1.54137504101,0.0355466492474
2017-06-03,23.5,-157.5,2.64566898346,0.0355466492474
2017-06-03,23.5,-157.5,3.81949496269,0.0355466492474
2017-06-03,23.5,-157.5,5.07822418213,0.0355466492474
