time,lat,lon,depth,Fe
2017-06-03,23.0,-157.5,1452.25097656,0.000595136778429
2017-06-03,23.0,-157.5,1684.28405762,0.000579429324716
2017-06-03,23.0,-157.5,1941.89294434,0.000565436959732
2017-06-03,23.0,-157.5,2225.07788086,0.000553839316126
2017-06-03,23.0,-157.5,2533.3359375,0.000540465582162
2017-06-03,23.0,-157.5,2865.70288086,0.000528912351001
2017-06-03,23.0,-157.5,3220.82006836,0.000519258435816
2017-06-03,23.0,-157.5,3597.03198242,0.000512861413881
2017-06-03,23.0,-157.5,3992.48388672,0.000510505167767
2017-06-03,23.0,-157.5,4405.22412109,0.000510505167767
2017-06-03,23.0,-157.5,4833.29101562,
2017-06-03,23.0,-157.5,5274.78417969,
2017-06-03,23.0,-157.5,5727.91699219,
2017-06-03,23.5,-158.0,0.494024991989,5.19755267305e-05
2017-06-03,23.5,-158.0,1.54137504101,5.19755267305e-05
2017-06-03,23.5,-158.0,2.64566898346,5.19755267305e-05
2017-06-03,23.5,-158.0,3.81949496269,5.19755267305e-05
2017-06-03,23.5,-158.0,5.07822418213,5.19755267305e-05
2017-06-03,23.5,-158.0,6.44061422348,5.19755267305e-05
2017-06-03,23.5,-158.0,7.92956018448,5.18730594194e-05
2017-06-03,23.5,-158.0,9.5729970932,5.18730594194e-05
2017-06-03,23.5,-158.0,11.404999733,5.18730594194e-05
2017-06-03,23.5,-158.0,13.4671401978,5.18730594194e-05
2017-06-03,23.5,-158.0,15.8100700378,5.18730594194e-05
2017-06-03,23.5,-158.0,18.4955596924,5.18730594194e-05
2017-06-03,23.5,-158.0,21.5988197327,5.18730594194e-05
2017-06-03,23.5,-158.0,25.2114105225,5.18730594194e-05
2017-06-03,23.5,-158.0,29.4447307587,5.18730594194e-05
2017-06-03,23.5,-158.0,34.4341506958,5.18730594194e-05
2017-06-03,23.5,-158.0,40.3440513611,5.18560336786e-05
2017-06-03,23.5,-158.0,47.3736915588,5.11955258844e-05
2017-06-03,23.5,-158.0,55.764289856,4.84839765704e-05
2017-06-03,23.5,-158.0,65.8072662354,4.1500745283e-05
2017-06-03,23.5,-158.0,77.8538513184,3.15783145197e-05
2017-06-03,23.5,-158.0,92.3260726929,2.15887448576e-05
2017-06-03,23.5,-158.0,109.729301453,9.75294915406e-06
2017-06-03,23.5,-158.0,130.666000366,3.05160165226e-06
2017-06-03,23.5,-158.0,155.850692749,9.02639931155e-06
2017-06-03,23.5,-158.0,186.125595093,1.71220453922e-05
2017-06-03,23.5,-158.0,222.475204468,2.98987652059e-05
2017-06-03,23.5,-158.0,266.040313721,6.99109587003e-05
2017-06-03,23.5,-158.0,318.127410889,0.000153300949023
2017-06-03,23.5,-158.0,380.213012695,0.000279775558738
2017-06-03,23.5,-158.0,453.937713623,0.000423601595685
2017-06-03,23.5,-158.0,541.088928223,0.000545251707081
2017-06-03,23.5,-158.0,643.566772461,0.000613762123976
2017-06-03,23.5,-158.0,763.333129883,0.000630957598332
2017-06-03,23.5,-158.0,902.339294434,0.000630957598332
2017-06-03,23.5,-158.0,1062.43994141,0.000625173386652
2017-06-03,23.5,-158.0,1245.29101562,0.000614967138972
2017-06-03,23.5,-158.0,1452.25097656,0.000600968487561
2017-06-03,23.5,-158.0,1684.28405762,0.000587088172324
2017-06-03,23.5,-158.0,1941.89294434,0.000573334807996
2017-06-03,23.5,-158.0,2225.07788086,0.000555715174414
2017-06-03,23.5,-158.0,2533.3359375,0.000539511034731
2017-06-03,23.5,-158.0,2865.70288086,0.000523600261658
2017-06-03,23.5,-158.0,3220.82006836,0.000513213337399
2017-06-03,23.5,-158.0,3597.03198242,0.000510680023581
2017-06-03,23.5,-158.0,3992.48388672,0.000509331759531
2017-06-03,23.5,-158.0,4405.22412109,
2017-06-03,23.5,-158.0,4833.29101562,
2017-06-03,23.5,-158.0,5274.78417969,
2017-06-03,23.5,-158.0,5727.91699219,
2017-06-03,23.5,-157.5,0.494024991989,5.06323449372e-05
2017-06-03,23.5,-157.5,1.54137504101,5.06323449372e-05
2017-06-03,23.5,-157.5,2.64566898346,5.06323449372e-05
2017-06-03,23.5,-157.5,3.81949496269,5.05318603246e-05
2017-06-03,23.5,-157.5,5.07822418213,5.05318603246e-05
2017-06-03,23.5,-157.5,6.44061422348,5.05318603246e-05
2017-06-03,23.5,-157.5,7.92956018448,5.05158641317e-05
2017-06-03,23.5,-157.5,9.5729970932,5.05158641317e-05
2017-06-03,23.5,-157.5,11.404999733,5.05158641317e-05
2017-06-03,23.5,-157.5,13.4671401978,5.05158641317e-05
2017-06-03,23.5,-157.5,15.8100700378,5.05158641317e-05
2017-06-03,23.5,-157.5,18.4955596924,5.04157032992e-05
2017-06-03,23.5,-157.5,21.5988197327,5.04157032992e-05
2017-06-03,23.5,-157.5,25.2114105225,5.04157032992e-05
2017-06-03,23.5,-157.5,29.4447307587,5.04157032992e-05
2017-06-03,23.5,-157.5,34.4341506958,5.03317678522e-05
2017-06-03,23.5,-157.5,40.3440513611,5.014846829e-05
2017-06-03,23.5,-157.5,47.3736915588,4.90226266265e-05
2017-06-03,23.5,-157.5,55.764289856,4.37762319052e-05
2017-06-03,23.5,-157.5,65.8072662354,3.63278704754e-05
2017-06-03,23.5,-157.5,77.8538513184,2.79831019725e-05
2017-06-03,23.5,-157.5,92.3260726929,1.89696766029e-05
2017-06-03,23.5,-157.5,109.729301453,9.33680530579e-06
2017-06-03,23.5,-157.5,130.666000366,2.99226348943e-06
2017-06-03,23.5,-157.5,155.850692749,9.2500640676e-06
2017-06-03,23.5,-157.5,186.125595093,1.77806068677e-05
2017-06-03,23.5,-157.5,222.475204468,3.14218705171e-05
2017-06-03,23.5,-157.5,266.040313721,7.11638858775e-05
2017-06-03,23.5,-157.5,318.127410889,0.000159287679708
2017-06-03,23.5,-157.5,380.213012695,0.000293367920676
2017-06-03,23.5,-157.5,453.937713623,0.000440296862507
2017-06-03,23.5,-157.5,541.088928223,0.000550996453967
2017-06-03,23.5,-157.5,643.566772461,0.000612560717855
2017-06-03,23.5,-157.5,763.333129883,0.000630742113572
2017-06-03,23.5,-157.5,902.339294434,0.000630957598332
2017-06-03,23.5,-157.5,1062.43994141,0.000622088671662
2017-06-03,23.5,-157.5,1245.29101562,0.000610942428466
2017-06-03,23.5,-157.5,1452.25097656,0.000598412181716
2017-06-03,23.5,-157.5,1684.28405762,0.000583246874157
2017-06-03,23.5,-157.5,1941.89294434,0.000568271963857
2017-06-03,23.5,-157.5,2225.07788086,0.000549540563952
2017-06-03,23.5,-157.5,2533.3359375,0.000533700571395
2017-06-03,23.5,-157.5,2865.70288086,0.000520709785633
2017-06-03,23.5,-157.5,3220.82006836,0.000514573126566
2017-06-03,23.5,-157.5,3597.03198242,0.000510679732542
2017-06-03,23.5,-157.5,3992.48388672,0.000510505167767
2017-06-03,23.5,-157.5,4405.22412109,
2017-06-03,23.5,-157.5,4833.29101562,
2017-06-03,23.5,-157.5,5274.78417969,
2017-06-03,23.5,-157.5,5727.91699219,
2017-06-03,24.0,-158.0,0.494024991989,5.45689799765e-05
2017-06-03,24.0,-158.0,1.54137504101,5.4567863117e-05
2017-06-03,24.0,-158.0,2.64566898346,5.4567863117e-05
2017-06-03,24.0,-158.0,3.81949496269,5.4567863117e-05
2017-06-03,24.0,-158.0,5.07822418213,5.4567863117e-05
2017-06-03,24.0,-158.0,6.44061422348,5.4567863117e-05
2017-06-03,24.0,-158.0,7.92956018448,5.44435424672e-05
2017-06-03,24.0,-158.0,9.5729970932,5.44435424672e-05
2017-06-03,24.0,-158.0,11.404999733,5.44424292457e-05
2017-06-03,24.0,-158.0,13.4671401978,5.44424292457e-05
2017-06-03,24.0,-158.0,15.8100700378,5.44424292457e-05
2017-06-03,24.0,-158.0,18.4955596924,5.44424292457e-05
2017-06-03,24.0,-158.0,21.5988197327,5.44413196621e-05
2017-06-03,24.0,-158.0,25.2114105225,5.44413196621e-05
2017-06-03,24.0,-158.0,29.4447307587,5.43172864127e-05
2017-06-03,24.0,-158.0,34.4341506958,5.43172864127e-05
2017-06-03,24.0,-158.0,40.3440513611,5.40687251487e-05
2017-06-03,24.0,-158.0,47.3736915588,5.35741528438e-05
2017-06-03,24.0,-158.0,55.764289856,5.24753631908e-05
2017-06-03,24.0,-158.0,65.8072662354,4.33638924733e-05
2017-06-03,24.0,-158.0,77.8538513184,3.22181585943e-05
2017-06-03,24.0,-158.0,92.3260726929,2.21328045882e-05
2017-06-03,24.0,-158.0,109.729301453,7.28105806047e-06
2017-06-03,24.0,-158.0,130.666000366,3.61235220225e-06
2017-06-03,24.0,-158.0,155.850692749,1.07317891889e-05
2017-06-03,24.0,-158.0,186.125595093,1.8910252038e-05
2017-06-03,24.0,-158.0,222.475204468,3.18216189044e-05
2017-06-03,24.0,-158.0,266.040313721,7.09289743099e-05
2017-06-03,24.0,-158.0,318.127410889,0.000148227612954
2017-06-03,24.0,-158.0,380.213012695,0.000267911585979
2017-06-03,24.0,-158.0,453.937713623,0.000410204927903
2017-06-03,24.0,-158.0,541.088928223,0.000534598599188
2017-06-03,24.0,-158.0,643.566772461,0.000608148169704
2017-06-03,24.0,-158.0,763.333129883,0.000629518995993
2017-06-03,24.0,-158.0,902.339294434,0.000629505899269
2017-06-03,24.0,-158.0,1062.43994141,0.000622314109933
2017-06-03,24.0,-158.0,1245.29101562,0.000610967807006
2017-06-03,24.0,-158.0,1452.25097656,0.000598437036388
2017-06-03,24.0,-158.0,1684.28405762,0.000584814639296
2017-06-03,24.0,-158.0,1941.89294434,0.000571502314415
2017-06-03,24.0,-158.0,2225.07788086,0.000559769454412
2017-06-03,24.0,-158.0,2533.3359375,0.000545735878404
2017-06-03,24.0,-158.0,2865.70288086,0.000529620796442
2017-06-03,24.0,-158.0,3220.82006836,0.000514033541549
2017-06-03,24.0,-158.0,3597.03198242,0.000507001124788
2017-06-03,24.0,-158.0,3992.48388672,0.000507001124788
2017-06-03,24.0,-158.0,4405.22412109,
2017-06-03,24.0,-158.0,4833.29101562,
2017-06-03,24.0,-158.0,5274.78417969,
2017-06-03,24.0,-158.0,5727.91699219,
2017-06-03,24.0,-157.5,0.494024991989,5.49385367776e-05
2017-06-03,24.0,-157.5,1.54137504101,5.49385367776e-05
2017-06-03,24.0,-157.5,2.64566898346,5.49385367776e-05
2017-06-03,24.0,-157.5,3.81949496269,5.49385367776e-05
2017-06-03,24.0,-157.5,5.07822418213,5.49385367776e-05
2017-06-03,24.0,-157.5,6.44061422348,5.4813335737e-05
2017-06-03,24.0,-157.5,7.92956018448,5.4813335737e-05
2017-06-03,24.0,-157.5,9.5729970932,5.4813335737e-05
2017-06-03,24.0,-157.5,11.404999733,5.4813335737e-05
2017-06-03,24.0,-157.5,13.4671401978,5.4813335737e-05
2017-06-03,24.0,-157.5,15.8100700378,5.48122443433e-05
2017-06-03,24.0,-157.5,18.4955596924,5.4687337979e-05
2017-06-03,24.0,-157.5,21.5988197327,5.4687337979e-05
2017-06-03,24.0,-157.5,25.2114105225,5.4687337979e-05
2017-06-03,24.0,-157.5,29.4447307587,5.46884257346e-05
2017-06-03,24.0,-157.5,34.4341506958,5.4563570302e-05
2017-06-03,24.0,-157.5,40.3440513611,5.43140995433e-05
2017-06-03,24.0,-157.5,47.3736915588,5.36933148396e-05
2017-06-03,24.0,-157.5,55.764289856,5.16281106684e-05
2017-06-03,24.0,-157.5,65.8072662354,4.37425405835e-05
2017-06-03,24.0,-157.5,77.8538513184,3.30315888277e-05
2017-06-03,24.0,-157.5,92.3260726929,2.23307451961e-05
2017-06-03,24.0,-157.5,109.729301453,6.40720372758e-06
2017-06-03,24.0,-157.5,130.666000366,3.543432058e-06
2017-06-03,24.0,-157.5,155.850692749,9.89837008092e-06
2017-06-03,24.0,-157.5,186.125595093,1.71848514583e-05
2017-06-03,24.0,-157.5,222.475204468,3.01559502986e-05
2017-06-03,24.0,-157.5,266.040313721,7.31260515749e-05
2017-06-03,24.0,-157.5,318.127410889,0.000161442541867
2017-06-03,24.0,-157.5,380.213012695,0.000293083954602
2017-06-03,24.0,-157.5,453.937713623,0.000435556692537
2017-06-03,24.0,-157.5,541.088928223,0.000554637634195
2017-06-03,24.0,-157.5,643.566772461,0.000616583682131
2017-06-03,24.0,-157.5,763.333129883,0.000632412731647
2017-06-03,24.0,-157.5,902.339294434,0.000630957598332
2017-06-03,24.0,-157.5,1062.43994141,0.000625160580967
2017-06-03,24.0,-157.5,1245.29101562,0.000613749551121
2017-06-03,24.0,-157.5,1452.25097656,0.000601161795203
2017-06-03,24.0,-157.5,1684.28405762,0.000587465416174
2017-06-03,24.0,-157.5,1941.89294434,0.0005727847456
2017-06-03,24.0,-157.5,2225.07788086,0.000561014283448
2017-06-03,24.0,-157.5,2533.3359375,0.000545669754501
2017-06-03,24.0,-157.5,2865.70288086,0.000527165539097
2017-06-03,24.0,-157.5,3220.82006836,0.000512840459123
2017-06-03,24.0,-157.5,3597.03198242,0.000507001008373
2017-06-03,24.0,-157.5,3992.48388672,0.000507011427544
2017-06-03,24.0,-157.5,4405.22412109,
2017-06-03,24.0,-157.5,4833.29101562,
2017-06-03,24.0,-157.5,5274.78417969,
2017-06-03,24.0,-157.5,5727.91699219,
2017-06-03,24.5,-158.0,0.494024991989,5.65647933399e-05
2017-06-03,24.5,-158.0,1.54137504101,5.65647933399e-05
2017-06-03,24.5,-158.0,2.64566898346,5.65647933399e-05
2017-06-03,24.5,-158.0,3.81949496269,5.65647933399e-05
2017-06-03,24.5,-158.0,5.07822418213,5.64346446481e-05
2017-06-03,24.5,-158.0,6.44061422348,5.64346446481e-05
2017-06-03,24.5,-158.0,7.92956018448,5.64346446481e-05
2017-06-03,24.5,-158.0,9.5729970932,5.64274923818e-05
2017-06-03,24.5,-158.0,11.404999733,5.64274923818e-05
2017-06-03,24.5,-158.0,13.4671401978,5.64203546674e-05
2017-06-03,24.5,-158.0,15.8100700378,5.62976638321e-05
2017-06-03,24.5,-158.0,18.4955596924,5.62905370316e-05
2017-06-03,24.5,-158.0,21.5988197327,5.62763380003e-05
2017-06-03,24.5,-158.0,25.2114105225,5.61328706681e-05
2017-06-03,24.5,-158.0,29.4447307587,5.58400606678e-05
2017-06-03,24.5,-158.0,34.4341506958,5.54012549401e-05
2017-06-03,24.5,-158.0,40.3440513611,5.44302783965e-05
2017-06-03,24.5,-158.0,47.3736915588,5.1556420658e-05
2017-06-03,24.5,-158.0,55.764289856,4.5612345275e-05
2017-06-03,24.5,-158.0,65.8072662354,3.73363909603e-05
2017-06-03,24.5,-158.0,77.8538513184,2.81243392237e-05
2017-06-03,24.5,-158.0,92.3260726929,1.77094152605e-05
2017-06-03,24.5,-158.0,109.729301453,4.01827674068e-06
2017-06-03,24.5,-158.0,130.666000366,4.00277758672e-06
2017-06-03,24.5,-158.0,155.850692749,1.22548808577e-05
2017-06-03,24.5,-158.0,186.125595093,1.99986461666e-05
2017-06-03,24.5,-158.0,222.475204468,3.45810549334e-05
2017-06-03,24.5,-158.0,266.040313721,7.77244276833e-05
2017-06-03,24.5,-158.0,318.127410889,0.000163025208167
2017-06-03,24.5,-158.0,380.213012695,0.000287296250463
2017-06-03,24.5,-158.0,453.937713623,0.000426025042543
2017-06-03,24.5,-158.0,541.088928223,0.000548345502466
2017-06-03,24.5,-158.0,643.566772461,0.000616826815531
2017-06-03,24.5,-158.0,763.333129883,0.000634106865618
2017-06-03,24.5,-158.0,902.339294434,0.00063135183882
2017-06-03,24.5,-158.0,1062.43994141,0.000623968197033
2017-06-03,24.5,-158.0,1245.29101562,0.000612503790762
2017-06-03,24.5,-158.0,1452.25097656,0.000598486571107
2017-06-03,24.5,-158.0,1684.28405762,0.000584935944062
2017-06-03,24.5,-158.0,1941.89294434,0.000571549637243
2017-06-03,24.5,-158.0,2225.07788086,0.00055725540733
2017-06-03,24.5,-158.0,2533.3359375,0.000545758462977
