Fe,start_time,end_time,lat1,lat2,lon1,lon2,depth,
2.73598507192e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.50442044489e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.26411448239e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.87249697774e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.68002261489e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.51305293912e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.25412598209e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.03514603325e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
7.65308777773e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
5.98344377067e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.50005791208e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.5452855223e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.35867009906e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.41931938945e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.28214503295e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.75463665073e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.14884114737e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
7.59811518947e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
6.84171845933e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
6.98864141668e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
7.5439857028e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
8.59703322931e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
5.64529955227e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
7.34060631657e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
8.33050944493e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.01278383227e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
9.58309010457e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
8.52112134453e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
6.40602138446e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.65839730168e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.64263291885e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.85078010368e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.30821262651e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.21427773997e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.75180240755e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
5.92335709371e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
6.81695837557e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
5.72185763303e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
6.4127098085e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.59418424725e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
5.26900248587e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
5.97204234509e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.1685255231e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.52232857747e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.23350905092e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.31034898409e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.32434901793e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.16789155477e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.8929727705e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.3898535801e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.56384958245e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.35862546813e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
