time_X,sst,sst_std_X,time_Y,NO3,NO3_std_Y,lat1,lat2,lon1,lon2,depth1,depth2
2016-06-11,9.41989913644,1.18264809764,2016-06-11,10.7171428612,2.29354602083,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-12,9.36442639016,1.24275728036,2016-06-12,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-13,9.5040537508,1.29445051261,2016-06-13,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-14,9.46029958047,1.409883069,2016-06-14,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-15,10.0104219264,1.34137003894,2016-06-15,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-16,10.1087756505,1.29823880039,2016-06-16,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-17,10.2845876599,1.51543607745,2016-06-17,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-18,11.0671682876,1.66851598407,2016-06-18,10.5640972464,2.27522884913,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-19,11.4052661666,1.67460663928,2016-06-19,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-20,11.4061949764,1.63090538907,2016-06-20,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-21,11.1892984295,1.52669363588,2016-06-21,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-22,11.0374408133,1.60223327311,2016-06-22,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-23,10.9730247969,1.61343558462,2016-06-23,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-24,10.754826804,1.5009113757,2016-06-24,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-25,10.7467344794,1.42935317317,2016-06-25,10.4114065565,2.27290658118,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-26,10.7040370388,1.41694333152,2016-06-26,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-27,10.6464397097,1.41634878016,2016-06-27,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-28,10.6533751934,1.41410154617,2016-06-28,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-29,10.4698601808,1.67066485549,2016-06-29,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-30,10.8123518306,1.87732504232,2016-06-30,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
