time,lat,lon,synecho,synecho_std,sst,sst_std,margin
2016-04-20 09:00:00,22.7743826,-158.20743425,4.12153684979,0.329937357593,24.1356183569,0.157081533789,0.5
2016-04-20 10:00:00,22.9036978947,-158.185022368,4.53134243726,0.346993789209,23.99999336,0.186279355827,0.5
2016-04-20 11:00:00,23.02544945,-158.13959925,4.4009366625,0.345049631861,23.99999336,0.186279355827,0.5
2016-04-20 12:00:00,23.1522292,-158.09277375,4.7552225958,0.688022748569,23.7199933663,0.31904152611,0.5
2016-04-20 13:00:00,23.28376205,-158.04224165,5.8409819932,0.531846013571,23.7199933663,0.31904152611,0.5
2016-04-20 14:00:00,23.42023505,-158.00279675,5.29489084685,0.562446528429,23.4949933713,0.343965833671,0.5
2016-04-20 15:00:00,23.49715205,-157.99031675,6.10689093875,0.461414087913,23.4949933713,0.343965833671,0.5
2016-04-20 16:00:00,23.50053585,-157.9764732,5.931501333,0.447820303114,23.4949933713,0.343965833671,0.5
2016-04-20 17:00:00,23.50925065,-157.96220295,5.99178865155,0.477382153032,23.4949933713,0.343965833671,0.5
2016-04-20 18:00:00,23.52736605,-157.95829865,5.6215709585,0.511543390148,23.4949933713,0.343965833671,0.5
2016-04-20 19:00:00,23.54971685,-157.95697845,5.0867579379,0.474419183516,23.4949933713,0.343965833671,0.5
2016-04-20 20:00:00,23.5697558,-157.95423645,5.02323023685,0.399067833865,23.4949933713,0.343965833671,0.5
2016-04-20 21:00:00,23.58544255,-157.9503084,4.5080144961,0.424942060211,23.4949933713,0.343965833671,0.5
2016-04-20 22:00:00,23.59197135,-157.9531457,4.10487094945,0.354387596925,23.4949933713,0.343965833671,0.5
2016-04-20 23:00:00,23.59440195,-157.95919425,4.02746891185,0.307364023825,23.4949933713,0.343965833671,0.5
2016-04-21 00:00:00,23.59383175,-157.96113445,3.9439376102,0.288516133899,23.467493372,0.353597574088,0.5
2016-04-21 01:00:00,23.59595835,-157.9552158,4.15523977205,0.364775356195,23.467493372,0.353597574088,0.5
2016-04-21 02:00:00,23.59367165,-157.951738,4.4746866294,0.401537642783,23.467493372,0.353597574088,0.5
2016-04-21 03:00:00,23.5899038,-157.9447912,4.46060532645,0.447446747639,23.467493372,0.353597574088,0.5
2016-04-21 04:00:00,23.5797618,-157.9263824,4.3373217711,0.405676131792,23.467493372,0.353597574088,0.5
2016-04-21 05:00:00,23.5668325,-157.9118746,4.42493027565,0.416580940784,23.467493372,0.353597574088,0.5
2016-04-21 06:00:00,23.57180545,-157.91250155,4.58471106305,0.523819542531,23.467493372,0.353597574088,0.5
2016-04-21 07:00:00,23.61601445,-157.9190331,5.51860199525,0.332949865116,23.467493372,0.353597574088,0.5
2016-04-21 08:00:00,23.73634445,-157.9415056,5.67447067755,0.560514679088,23.2599933766,0.283923398818,0.5
2016-04-21 09:00:00,23.87510475,-157.97774665,6.4589100065,0.499657401479,23.1149933798,0.205091438405,0.5
2016-04-21 10:00:00,24.0152359,-157.9988423,5.2519255884,0.45866064351,23.1149933798,0.205091438405,0.5
2016-04-21 11:00:00,24.1618285,-158.00168535,5.63330599125,0.478909076505,23.0137433821,0.142998029989,0.5
2016-04-21 12:00:00,24.31068255,-157.9990512,5.86689383185,0.475501305034,23.0137433821,0.142998029989,0.5
2016-04-21 13:00:00,24.461434,-157.99753445,6.14742428175,0.4527524525,22.9399933838,0.117313679285,0.5
2016-04-21 14:00:00,24.61379545,-158.00032265,6.17282273745,1.06259749389,22.9399933838,0.117313679285,0.5
2016-04-21 15:00:00,24.70569775,-157.99531435,5.03144387805,0.320203818193,22.8393683861,0.170787464558,0.5
2016-04-21 16:00:00,24.83632135,-157.99833865,5.7985372916,0.707072261208,22.8393683861,0.170787464558,0.5
2016-04-21 17:00:00,24.98362585,-157.9996783,5.9625129116,0.603772595067,22.6699933899,0.283681152654,0.5
2016-04-21 18:00:00,25.1321321,-157.9971293,5.6350732377,0.536961527914,22.4087433958,0.4249834461,0.5
2016-04-21 19:00:00,25.2738573,-157.9988963,8.9548362545,3.92224511633,22.4087433958,0.4249834461,0.5
2016-04-21 20:00:00,25.41710545,-157.99951625,12.696418208,0.955509995088,22.0712434033,0.498508702406,0.5
