time,lat,lon,depth,Fe
2017-06-03,23.0,-159.0,0.494024991989,5.10607460456e-05
2017-06-03,23.0,-159.0,1.54137504101,5.10160025442e-05
2017-06-03,23.0,-159.0,2.64566898346,5.10160025442e-05
2017-06-03,23.0,-159.0,3.81949496269,5.10160025442e-05
2017-06-03,23.0,-159.0,5.07822418213,5.10160025442e-05
2017-06-03,23.0,-159.0,6.44061422348,5.10160025442e-05
2017-06-03,23.0,-159.0,7.92956018448,5.10160025442e-05
2017-06-03,23.0,-159.0,9.5729970932,5.10160025442e-05
2017-06-03,23.0,-159.0,11.404999733,5.09433048137e-05
2017-06-03,23.0,-159.0,13.4671401978,5.09433048137e-05
2017-06-03,23.0,-159.0,15.8100700378,5.0898623158e-05
2017-06-03,23.0,-159.0,18.4955596924,5.0898623158e-05
2017-06-03,23.0,-159.0,21.5988197327,5.0898623158e-05
2017-06-03,23.0,-159.0,25.2114105225,5.08261618961e-05
2017-06-03,23.0,-159.0,29.4447307587,5.08261618961e-05
2017-06-03,23.0,-159.0,34.4341506958,5.07815821038e-05
2017-06-03,23.0,-159.0,40.3440513611,5.07371478307e-05
2017-06-03,23.0,-159.0,47.3736915588,4.9910038797e-05
2017-06-03,23.0,-159.0,55.764289856,4.70898521598e-05
2017-06-03,23.0,-159.0,65.8072662354,4.17400078732e-05
2017-06-03,23.0,-159.0,77.8538513184,3.43006613548e-05
2017-06-03,23.0,-159.0,92.3260726929,2.56258299487e-05
2017-06-03,23.0,-159.0,109.729301453,1.57329468493e-05
2017-06-03,23.0,-159.0,130.666000366,3.24053144141e-06
2017-06-03,23.0,-159.0,155.850692749,6.42674558549e-06
2017-06-03,23.0,-159.0,186.125595093,1.56199166668e-05
2017-06-03,23.0,-159.0,222.475204468,3.21323677781e-05
2017-06-03,23.0,-159.0,266.040313721,7.58743044571e-05
2017-06-03,23.0,-159.0,318.127410889,0.000156695808982
2017-06-03,23.0,-159.0,380.213012695,0.000269890937489
2017-06-03,23.0,-159.0,453.937713623,0.000400653661927
2017-06-03,23.0,-159.0,541.088928223,0.000523239374161
2017-06-03,23.0,-159.0,643.566772461,0.000602994579822
2017-06-03,23.0,-159.0,763.333129883,0.000628614390735
2017-06-03,23.0,-159.0,902.339294434,0.000630063237622
2017-06-03,23.0,-159.0,1062.43994141,0.000625173386652
2017-06-03,23.0,-159.0,1245.29101562,0.000613762123976
2017-06-03,23.0,-159.0,1452.25097656,0.000599261547904
2017-06-03,23.0,-159.0,1684.28405762,0.000583446118981
2017-06-03,23.0,-159.0,1941.89294434,0.000570164993405
2017-06-03,23.0,-159.0,2225.07788086,0.000558469910175
2017-06-03,23.0,-159.0,2533.3359375,0.000544502749108
2017-06-03,23.0,-159.0,2865.70288086,0.000528444710653
2017-06-03,23.0,-159.0,3220.82006836,0.000515412306413
2017-06-03,23.0,-159.0,3597.03198242,0.000513231963851
2017-06-03,23.0,-159.0,3992.48388672,0.000518906221259
2017-06-03,23.0,-159.0,4405.22412109,0.000520371948369
2017-06-03,23.0,-159.0,4833.29101562,
2017-06-03,23.0,-159.0,5274.78417969,
2017-06-03,23.0,-159.0,5727.91699219,
2017-06-03,23.0,-158.5,0.494024991989,4.875974264e-05
2017-06-03,23.0,-158.5,1.54137504101,4.875974264e-05
2017-06-03,23.0,-158.5,2.64566898346,4.875974264e-05
2017-06-03,23.0,-158.5,3.81949496269,4.875974264e-05
2017-06-03,23.0,-158.5,5.07822418213,4.875974264e-05
2017-06-03,23.0,-158.5,6.44061422348,4.87179677293e-05
2017-06-03,23.0,-158.5,7.92956018448,4.87179677293e-05
2017-06-03,23.0,-158.5,9.5729970932,4.87179677293e-05
2017-06-03,23.0,-158.5,11.404999733,4.87179677293e-05
2017-06-03,23.0,-158.5,13.4671401978,4.86475510115e-05
2017-06-03,23.0,-158.5,15.8100700378,4.86475510115e-05
2017-06-03,23.0,-158.5,18.4955596924,4.86475510115e-05
2017-06-03,23.0,-158.5,21.5988197327,4.87179677293e-05
2017-06-03,23.0,-158.5,25.2114105225,4.86763274239e-05
