time,lat,lon,depth,OH_PseudoCobalamin_Particulate_pM,Me_PseudoCobalamin_Particulate_pM,OH_Cobalamin_Particulate_pM,Me_Cobalamin_Particulate_pM,Ado_Cobalamin_Particulate_pM,dt1,dt2,lat1,lat2,lon1,lon2,depth1,depth2,sst,sst_std,Fe,Fe_std,picoeukaryote_c03_darwin_clim,picoeukaryote_c03_darwin_clim_std
2013-08-11 10:35:58,48.81633333,-128.6668333,0,0.03119927,0.077184545,0.077671503,0.014774794,0.032145619,2013-08-10 10:35:58,2013-08-12 10:35:58,48.51633333,49.116333329999996,-128.96683330000002,-128.3668333,-5,5,15.165549113055555,0.28261127417399134,5.906428486925e-05,2.1242570902222485e-07,0.23767833,0.0
2013-08-11 10:35:58,48.81633333,-128.6668333,15,0.033721842,0.093902729,0.090664015,0.014614442,0.032997535,2013-08-10 10:35:58,2013-08-12 10:35:58,48.51633333,49.116333329999996,-128.96683330000002,-128.3668333,10,20,15.165549113055555,0.28261127417399134,4.9820428102975e-05,2.9979039070658403e-06,0.23041463,0.0
2013-08-11 10:35:58,48.81633333,-128.6668333,32,0.014515067,0.032400654,0.160629207,0.017600993,0.03828194,2013-08-10 10:35:58,2013-08-12 10:35:58,48.51633333,49.116333329999996,-128.96683330000002,-128.3668333,27,37,15.165549113055555,0.28261127417399134,3.255374394935e-05,1.5480400179499992e-06,0.13235372,0.0
2013-08-11 10:35:58,48.81633333,-128.6668333,50,0.010147586,0.014403421,0.080157852,0.009117025,0.021802621,2013-08-10 10:35:58,2013-08-12 10:35:58,48.51633333,49.116333329999996,-128.96683330000002,-128.3668333,45,55,15.165549113055555,0.28261127417399134,3.56474083674e-05,0.0,0.06132373000000001,0.019233820000000002
2013-08-11 10:35:58,48.81633333,-128.6668333,60,0.010133434,0.012889776,0.083311886,0.007561731,0.024102172,2013-08-10 10:35:58,2013-08-12 10:35:58,48.51633333,49.116333329999996,-128.96683330000002,-128.3668333,55,65,15.165549113055555,0.28261127417399134,3.88924454455e-05,0.0,0.030522364500000003,0.0115675455
2013-08-11 10:35:58,48.81633333,-128.6668333,80,0.002137663,0.0,0.077141381,0.009243759,0.026465581,2013-08-10 10:35:58,2013-08-12 10:35:58,48.51633333,49.116333329999996,-128.96683330000002,-128.3668333,75,85,15.165549113055555,0.28261127417399134,5.21454167028e-05,0.0,0.007438404,0.0
2013-08-11 10:35:58,48.81633333,-128.6668333,100,0.000682826,0.0,0.102023772,0.009442498,0.03231353,2013-08-10 10:35:58,2013-08-12 10:35:58,48.51633333,49.116333329999996,-128.96683330000002,-128.3668333,95,105,15.165549113055555,0.28261127417399134,,,0.0008104162,0.0
2013-08-11 10:35:58,48.81633333,-128.6668333,150,0.000416499,0.0,0.055991535,0.0047835,0.017168662,2013-08-10 10:35:58,2013-08-12 10:35:58,48.51633333,49.116333329999996,-128.96683330000002,-128.3668333,145,155,15.165549113055555,0.28261127417399134,,,-0.00011072842,0.0
2013-08-11 10:35:58,48.81633333,-128.6668333,180,0.0,0.0,0.071978376,0.005979142,0.020063377,2013-08-10 10:35:58,2013-08-12 10:35:58,48.51633333,49.116333329999996,-128.96683330000002,-128.3668333,175,185,15.165549113055555,0.28261127417399134,,,,
2013-08-14 11:23:16,49.2915,-134.6806667,0,0.001754101,0.0,0.058013785,0.007096872,0.013458675,2013-08-13 11:23:16,2013-08-15 11:23:16,48.9915,49.591499999999996,-134.9806667,-134.38066669999998,-5,5,16.143326869166668,0.1107800599160337,,,0.24703422,0.0
2013-08-14 11:23:16,49.2915,-134.6806667,15,0.002878192,0.0,0.09298968,0.012943893,0.019853615,2013-08-13 11:23:16,2013-08-15 11:23:16,48.9915,49.591499999999996,-134.9806667,-134.38066669999998,10,20,16.143326869166668,0.1107800599160337,,,0.23975427,0.0
2013-08-14 11:23:16,49.2915,-134.6806667,30,0.014587189,0.084943913,0.237182679,0.02422271,0.052880371,2013-08-13 11:23:16,2013-08-15 11:23:16,48.9915,49.591499999999996,-134.9806667,-134.38066669999998,25,35,16.143326869166668,0.1107800599160337,,,0.152438295,0.028496524999999995
2013-08-14 11:23:16,49.2915,-134.6806667,50,0.008521342,0.012189449,0.075174329,0.013481786,0.012941305,2013-08-13 11:23:16,2013-08-15 11:23:16,48.9915,49.591499999999996,-134.9806667,-134.38066669999998,45,55,16.143326869166668,0.1107800599160337,,,0.056125967,0.018226033
2013-08-14 11:23:16,49.2915,-134.6806667,65,0.011624385,0.012122988,0.049593971,0.003692977,0.009985445,2013-08-13 11:23:16,2013-08-15 11:23:16,48.9915,49.591499999999996,-134.9806667,-134.38066669999998,60,70,16.143326869166668,0.1107800599160337,,,0.016194865,0.0
2013-08-14 11:23:16,49.2915,-134.6806667,80,0.005450568,0.0,0.039438932,0.001283335,0.007782808,2013-08-13 11:23:16,2013-08-15 11:23:16,48.9915,49.591499999999996,-134.9806667,-134.38066669999998,75,85,16.143326869166668,0.1107800599160337,,,0.0059455507,0.0
2013-08-14 11:23:16,49.2915,-134.6806667,100,0.000978972,0.0,0.052901176,0.00230568,0.014964159,2013-08-13 11:23:16,2013-08-15 11:23:16,48.9915,49.591499999999996,-134.9806667,-134.38066669999998,95,105,16.143326869166668,0.1107800599160337,,,0.00062158995,0.0
2013-08-14 11:23:16,49.2915,-134.6806667,125,0.003231333,0.0,0.057478932,0.002318543,0.019104811,2013-08-13 11:23:16,2013-08-15 11:23:16,48.9915,49.591499999999996,-134.9806667,-134.38066669999998,120,130,16.143326869166668,0.1107800599160337,,,1.309849e-05,0.0
2013-08-14 11:23:16,49.2915,-134.6806667,150,0.000299441,0.0,0.042787295,0.001999022,0.015340526,2013-08-13 11:23:16,2013-08-15 11:23:16,48.9915,49.591499999999996,-134.9806667,-134.38066669999998,145,155,16.143326869166668,0.1107800599160337,,,-3.4387587e-05,0.0
2013-08-14 11:23:16,49.2915,-134.6806667,300,0.00066411,0.0,0.039134348,0.002639931,0.010002348,2013-08-13 11:23:16,2013-08-15 11:23:16,48.9915,49.591499999999996,-134.9806667,-134.38066669999998,295,305,16.143326869166668,0.1107800599160337,,,-4.7655878e-05,0.0
2013-08-18 13:19:40,49.9865,-144.8065,0,0.001239211,0.0,0.036749316,0.002657743,0.00635713,2013-08-17 13:19:40,2013-08-19 13:19:40,49.6865,50.2865,-145.1065,-144.5065,-5,5,15.01916022733333,0.1777384899883348,1.5392956356675e-05,5.310589076902133e-08,0.244731285,0.0007143649999999946
2013-08-18 13:19:40,49.9865,-144.8065,25,0.0,0.0,0.010635179,0.001147782,0.002541996,2013-08-17 13:19:40,2013-08-19 13:19:40,49.6865,50.2865,-145.1065,-144.5065,20,30,15.01916022733333,0.1777384899883348,1.49623629113e-05,0.0,0.173418375,0.00029778500000000874
2013-08-18 13:19:40,49.9865,-144.8065,50,0.010546589,0.011991197,0.07094665,0.009351281,0.015116041,2013-08-17 13:19:40,2013-08-19 13:19:40,49.6865,50.2865,-145.1065,-144.5065,45,55,15.01916022733333,0.1777384899883348,1.50576724991e-05,0.0,0.04049607450000001,0.015996062228745025
2013-08-18 13:19:40,49.9865,-144.8065,60,0.008627513,0.007918951,0.062805908,0.006038696,0.012931672,2013-08-17 13:19:40,2013-08-19 13:19:40,49.6865,50.2865,-145.1065,-144.5065,55,65,15.01916022733333,0.1777384899883348,1.52587217599e-05,0.0,0.0167766955,0.00773547780092757
2013-08-18 13:19:40,49.9865,-144.8065,70,0.013889,0.015155998,0.073666611,0.006139509,0.019103426,2013-08-17 13:19:40,2013-08-19 13:19:40,49.6865,50.2865,-145.1065,-144.5065,65,75,15.01916022733333,0.1777384899883348,1.585058817e-05,0.0,0.0090470395,0.00020755349999999981
2013-08-18 13:19:40,49.9865,-144.8065,80,0.007234057,0.007714537,0.067993702,0.005059133,0.015630254,2013-08-17 13:19:40,2013-08-19 13:19:40,49.6865,50.2865,-145.1065,-144.5065,75,85,15.01916022733333,0.1777384899883348,1.72724739969e-05,0.0,0.0030788049,9.46886000000001e-05
2013-08-18 13:19:40,49.9865,-144.8065,100,0.001841919,0.003103873,0.048404271,0.005313094,0.020033282,2013-08-17 13:19:40,2013-08-19 13:19:40,49.6865,50.2865,-145.1065,-144.5065,95,105,15.01916022733333,0.1777384899883348,,,0.00040472174,6.516609999999978e-06
2013-08-18 13:19:40,49.9865,-144.8065,125,0.0,0.0,0.055283063,0.002678638,0.017978116,2013-08-17 13:19:40,2013-08-19 13:19:40,49.6865,50.2865,-145.1065,-144.5065,120,130,15.01916022733333,0.1777384899883348,,,1.53515315e-05,2.0152650000000052e-07
2013-08-18 13:19:40,49.9865,-144.8065,150,0.0,0.0,0.071345032,0.004536726,0.016920741,2013-08-17 13:19:40,2013-08-19 13:19:40,49.6865,50.2865,-145.1065,-144.5065,145,155,15.01916022733333,0.1777384899883348,,,-4.4110964e-05,4.389640000000019e-07
2013-08-18 13:19:40,49.9865,-144.8065,300,0.0,0.0,0.047527973,0.003696851,0.016636518,2013-08-17 13:19:40,2013-08-19 13:19:40,49.6865,50.2865,-145.1065,-144.5065,295,305,15.01916022733333,0.1777384899883348,,,-5.1183524e-05,1.210374e-06
