time_X,sst,sst_std_X,time_Y,PO4,PO4_std_Y,lat1,lat2,lon1,lon2,,depth
2015-02-17,19.4415872119,2.19105808177,2015-02-17,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-02-18,19.4671059613,2.26751986466,2015-02-18,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-02-19,19.4160684625,2.27924814245,2015-02-19,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-02-20,19.3639309637,2.2341995049,2015-02-20,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-02-21,19.4316059622,2.22277928988,2015-02-21,0.238995967707,0.0405027676544,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-02-22,19.5451434596,2.2242709468,2015-02-22,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-02-23,19.7102872059,2.21949425047,2015-02-23,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-02-24,19.7628559548,2.16624262282,2015-02-24,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-02-25,19.8241809534,2.19114472306,2015-02-25,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-02-26,19.8487434528,2.18672039025,2015-02-26,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-02-27,19.8678184524,2.15858237273,2015-02-27,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-02-28,19.8128247036,2.25845900823,2015-02-28,0.238932105757,0.0413732068719,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-01,19.8109497037,2.29340837823,2015-03-01,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-02,19.8834997021,2.34033202671,2015-03-02,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-03,19.8435809529,2.43368511825,2015-03-03,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-04,19.8245434534,2.43584679853,2015-03-04,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-05,19.7893184542,2.43525408192,2015-03-05,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-06,19.6999309561,2.47254550489,2015-03-06,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-07,19.6555122072,2.53206504959,2015-03-07,0.240322918072,0.0418948599923,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-08,19.6665809569,2.51511959732,2015-03-08,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-09,19.619249708,2.47354515363,2015-03-09,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-10,19.5333434599,2.49709687577,2015-03-10,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-11,19.5243434601,2.50643358232,2015-03-11,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-12,19.4744247112,2.51547717337,2015-03-12,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-13,19.395330963,2.50215021606,2015-03-13,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-14,19.3787184633,2.49612978147,2015-03-14,0.242156953262,0.0430088028652,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-15,19.4358184621,2.52535632136,2015-03-15,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-16,19.4664372114,2.50990376204,2015-03-16,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-17,19.4767247112,2.46929263337,2015-03-17,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-18,19.5152997103,2.4805090626,2015-03-18,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-19,19.4135684626,2.4910430299,2015-03-19,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-20,19.2838934654,2.38607124698,2015-03-20,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-21,19.3314372144,2.36776940074,2015-03-21,0.244306994032,0.0443067953568,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-22,19.5853622087,2.39432981071,2015-03-22,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-23,19.797130954,2.40762423483,2015-03-23,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-24,19.8653309525,2.51485293443,2015-03-24,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-25,19.8444872029,2.58960785877,2015-03-25,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-26,19.839093453,2.48840428504,2015-03-26,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-27,19.8813684521,2.45063062499,2015-03-27,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-28,20.0778996977,2.44526859428,2015-03-28,0.245710304434,0.0454066381423,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-29,20.1771496955,2.52776961017,2015-03-29,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-30,20.1446809462,2.59352194406,2015-03-30,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-03-31,20.109005947,2.58248438869,2015-03-31,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-01,20.1811496954,2.62441777321,2015-04-01,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-02,20.2594559436,2.58997930144,2015-04-02,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-03,20.3826934409,2.59257510755,2015-04-03,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-04,20.5765371866,2.48519830145,2015-04-04,0.245758539695,0.0450044393286,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-05,20.7051121837,2.44793700703,2015-04-05,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-06,20.8040559315,2.41793387783,2015-04-06,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-07,20.87244968,2.43692829731,2015-04-07,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-08,20.8345621808,2.50359247254,2015-04-08,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-09,20.6507371849,2.58410810925,2015-04-09,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-10,20.4334371898,2.57964462375,2015-04-10,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-11,20.3224684422,2.54335189458,2015-04-11,0.245533355003,0.0448841417838,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-12,20.2986746928,2.49422691437,2015-04-12,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-13,20.3626371913,2.45959535465,2015-04-13,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-14,20.4399059396,2.37007703611,2015-04-14,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-15,20.4810871887,2.29000397508,2015-04-15,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-16,20.5783809365,2.32739925129,2015-04-16,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-17,20.7553434326,2.3222917099,2015-04-17,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-18,20.8743059299,2.34181221709,2015-04-18,0.247105469982,0.0459510723118,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-19,21.0908496751,2.1814026027,2015-04-19,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-20,21.2255809221,2.1131651313,2015-04-20,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-21,21.2504934215,2.07205114094,2015-04-21,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-22,21.2488184215,1.95926613181,2015-04-22,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-23,21.3784309186,1.88187597523,2015-04-23,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-24,21.4593309168,1.8457364718,2015-04-24,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-04-25,21.5943871638,1.82518966327,2015-04-25,0.248685704033,0.0475614498669,23.0,33.0,-160.0,-150.0,,0.494024991989
