track,time,lat,lon,sst,sst_std,chl01_darwin_clim,chl01_darwin_clim_std,margin
233182,2014-04-30,24.9113998413,-152.083984375,23.2866600426,0.226218915465,0.004299791,,0.3
233182,2014-05-01,24.9011001587,-152.041992188,23.0849933805,0.235350796459,0.004230788,4.147888378441574e-05,0.3
233182,2014-05-02,24.898399353,-152.038024902,23.2483267102,0.316570153713,0.004230788,4.147888378441574e-05,0.3
233182,2014-05-03,24.8945007324,-152.033996582,23.4866600382,0.284511270755,0.004230788,4.147888378441574e-05,0.3
233182,2014-05-04,24.8813991547,-151.999023438,23.5266600372,0.281685397631,0.004230788,4.147888378441574e-05,0.3
233182,2014-05-05,24.8661994934,-151.960998535,23.7533266988,0.301971294355,0.004230788,4.147888378441574e-05,0.3
233182,2014-05-06,24.8589000702,-151.95501709,23.7033267,0.329160541295,0.004230788,4.147888378441574e-05,0.3
233182,2014-05-07,24.8526000977,-151.942993164,23.6799933672,0.359332706799,0.004260118,,0.3
233182,2014-05-08,24.8409004211,-151.869995117,23.8255489196,0.355426183859,0.004260118,,0.3
233182,2014-05-09,24.8306999207,-151.888000488,23.90777114,0.387420234062,0.004260118,,0.3
233182,2014-05-10,24.8257007599,-151.849975586,23.8711044741,0.38840842471,0.004260118,,0.3
233182,2014-05-11,24.817899704,-151.833007812,24.1749933563,0.266214193454,0.004260118,,0.3
233182,2014-05-12,24.7994995117,-151.780029297,23.8349933635,0.314589672526,0.004260118,,0.3
233182,2014-05-13,24.7674007416,-151.794006348,23.782493365,0.341015632389,0.004260118,,0.3
233182,2014-05-14,24.7556991577,-151.760009766,23.8074933643,0.337675872736,0.004260118,,0.3
233284,2014-05-02,22.9871006012,-156.62097168,23.9166600287,0.293848026691,0.00593735,0.00034602836022788367,0.3
233732,2014-05-06,27.5076007843,-153.458984375,22.2699933987,0.0711805201811,0.0040781918,0.00014945646873539066,0.3
233732,2014-05-07,27.4036998749,-153.476989746,22.556660059,0.0814043387379,0.00394887025,7.121625946694146e-06,0.3
233732,2014-05-08,27.3801002502,-153.481018066,22.6483267235,0.0679460554502,0.00394887025,7.121625946694146e-06,0.3
233732,2014-05-09,27.3777999878,-153.481994629,22.7399933882,0.0761577294829,0.00394887025,7.121625946694146e-06,0.3
233732,2014-05-10,27.3551006317,-153.517028809,22.8233267197,0.0977070429807,0.00394887025,7.121625946694146e-06,0.3
233732,2014-05-11,27.3283996582,-153.565002441,22.5533267258,0.144314468377,0.0039438345,,0.3
233732,2014-05-12,27.3320999146,-153.568969727,22.1849934007,0.118448298392,0.0039438345,,0.3
233732,2014-05-13,27.3535995483,-153.557983398,22.2149933998,0.0755645401348,0.0039438345,,0.3
233732,2014-05-14,27.3379993439,-153.594970703,22.3055489534,0.145353970746,0.0039438345,,0.3
233732,2014-05-15,27.3703994751,-153.606994629,22.3866600627,0.101365672432,0.0039438345,,0.3
233732,2014-05-16,27.4200000763,-153.601989746,22.4477711726,0.145411290976,0.0039438345,,0.3
233732,2014-05-17,27.3971996307,-153.638977051,22.4655489499,0.161486149781,0.0039438345,,0.3
233732,2014-05-18,27.3980998993,-153.642028809,22.7333267218,0.180208209043,0.0039438345,,0.3
233732,2014-05-19,27.402299881,-153.646972656,22.7955489426,0.140099168361,0.0039438345,,0.3
233732,2014-05-20,27.4018001556,-153.653991699,23.1511044902,0.175388453806,0.0039438345,,0.3
233732,2014-05-21,27.4016990662,-153.658996582,23.3244378197,0.173068704495,0.0039438345,,0.3
233732,2014-05-22,27.3918991089,-153.682006836,23.599993369,0.123773984681,0.0039438345,,0.3
233732,2014-05-23,27.5100002289,-153.468017578,23.499993371,0.108012342813,0.0040781918,0.00014945646873539066,0.3
233732,2014-05-24,27.4983005524,-153.479003906,23.4424933728,0.0928708760685,0.0040781918,0.00014945646873539066,0.3
233732,2014-05-25,27.4531002045,-153.531982422,23.1774933785,0.0758836810086,0.0040781918,0.00014945646873539066,0.3
233732,2014-05-26,27.4463996887,-153.570983887,23.09749338,0.0865544123277,0.0039438345,,0.3
233732,2014-05-27,27.4426002502,-153.651000977,23.4449933727,0.163798653401,0.0039438345,,0.3
233732,2014-05-28,27.3875007629,-153.804016113,23.7583266988,0.145522045466,0.0039438345,,0.3
233732,2014-05-29,27.3952999115,-153.848999023,23.573326703,0.126194291909,0.0039438345,,0.3
233732,2014-05-30,27.4099006653,-153.87298584,23.5277711486,0.127060787542,0.0039438345,,0.3
233855,2014-04-30,23.7455005646,-149.844970703,23.6433267013,0.151084961484,0.005413578,,0.3
233855,2014-05-01,23.7332000732,-149.853027344,23.4049933733,0.152282628713,0.0056992928,,0.3
233855,2014-05-02,23.704000473,-149.864013672,23.3899933737,0.118152441414,0.0056992928,,0.3
233855,2014-05-03,23.6653003693,-149.87298584,23.4688822608,0.115265391753,0.0056992928,,0.3
233855,2014-05-04,23.6371994019,-149.888977051,23.3133267087,0.132947355145,0.0056992928,,0.3
233855,2014-05-05,23.6431999207,-149.898010254,23.5199933707,0.130479880556,0.0056992928,,0.3
233855,2014-05-06,23.650100708,-149.898010254,23.6577711454,0.115301534455,0.0056992928,,0.3
233855,2014-05-07,23.6093997955,-149.929992676,23.6749933675,0.115368970725,0.0056992928,,0.3
233855,2014-05-08,23.5981006622,-149.937988281,23.779993365,0.133566459847,0.0056992928,,0.3
233855,2014-05-09,23.6112003326,-149.945007324,23.8083266977,0.142746859062,0.0056992928,,0.3
233855,2014-05-10,23.5855998993,-149.953979492,23.8499933635,0.15231545873,0.0056753454,3.3866737863600614e-05,0.3
