time,lat,lon,hour,eastward_wind_rms
2017-06-03,16.5,-142.25,0,1.2
2017-06-03,16.5,-142.0,0,1.2
2017-06-03,16.5,-141.75,0,1.2
2017-06-03,16.5,-141.5,0,1.2
2017-06-03,16.5,-141.25,0,1.2
2017-06-03,16.5,-141.0,0,1.2
2017-06-03,16.5,-140.75,0,1.2
2017-06-03,16.5,-140.5,0,1.2
2017-06-03,16.5,-140.25,0,1.2
2017-06-03,16.5,-140.0,0,1.2
2017-06-03,16.5,-139.75,0,1.2
2017-06-03,16.5,-139.5,0,1.2
2017-06-03,16.5,-139.25,0,1.2
2017-06-03,16.5,-139.0,0,1.1
2017-06-03,16.5,-138.75,0,1.1
2017-06-03,16.5,-138.5,0,1.1
2017-06-03,16.5,-138.25,0,1.2
2017-06-03,16.5,-138.0,0,1.1
2017-06-03,16.5,-137.75,0,1.2
2017-06-03,16.5,-137.5,0,1.2
2017-06-03,16.5,-137.25,0,1.2
2017-06-03,16.5,-137.0,0,1.2
2017-06-03,16.5,-136.75,0,1.2
2017-06-03,16.5,-136.5,0,1.4
2017-06-03,16.5,-136.25,0,1.4
2017-06-03,16.5,-136.0,0,1.4
2017-06-03,16.5,-135.75,0,1.4
2017-06-03,16.5,-135.5,0,1.4
2017-06-03,16.5,-135.25,0,1.4
2017-06-03,16.5,-135.0,0,1.4
2017-06-03,16.5,-134.75,0,1.4
2017-06-03,16.5,-134.5,0,1.4
2017-06-03,16.5,-134.25,0,1.4
2017-06-03,16.5,-134.0,0,1.4
2017-06-03,16.5,-133.75,0,1.4
2017-06-03,16.5,-133.5,0,1.4
2017-06-03,16.5,-133.25,0,1.4
2017-06-03,16.5,-133.0,0,1.4
2017-06-03,16.5,-132.75,0,1.4
2017-06-03,16.5,-132.5,0,1.4
2017-06-03,16.5,-132.25,0,1.4
2017-06-03,16.5,-132.0,0,1.4
2017-06-03,16.5,-131.75,0,1.4
2017-06-03,16.5,-131.5,0,1.2
2017-06-03,16.5,-131.25,0,1.2
2017-06-03,16.5,-131.0,0,1.1
2017-06-03,16.5,-130.75,0,1.1
2017-06-03,16.5,-130.5,0,1.1
2017-06-03,16.5,-130.25,0,1.1
2017-06-03,16.5,-130.0,0,1.1
2017-06-03,16.5,-129.75,0,1.1
2017-06-03,16.5,-129.5,0,1.1
2017-06-03,16.5,-129.25,0,1.1
2017-06-03,16.5,-129.0,0,1.2
2017-06-03,16.5,-128.75,0,1.1
2017-06-03,16.5,-128.5,0,1.1
2017-06-03,16.5,-128.25,0,1.1
2017-06-03,16.5,-128.0,0,1.1
2017-06-03,16.5,-127.75,0,1.1
2017-06-03,16.5,-127.5,0,1.1
2017-06-03,16.5,-127.25,0,1.1
2017-06-03,16.5,-127.0,0,1.1
2017-06-03,16.5,-126.75,0,1.1
2017-06-03,16.5,-126.5,0,1.2
2017-06-03,16.5,-126.25,0,1.3
2017-06-03,16.5,-126.0,0,1.3
2017-06-03,16.5,-125.75,0,1.3
2017-06-03,16.5,-125.5,0,1.3
2017-06-03,16.5,-125.25,0,1.3
2017-06-03,16.5,-125.0,0,1.3
2017-06-03,16.5,-124.75,0,1.4
2017-06-03,16.5,-124.5,0,1.3
2017-06-03,16.5,-124.25,0,1.4
2017-06-03,16.5,-124.0,0,1.4
2017-06-03,16.5,-123.75,0,1.3
2017-06-03,16.5,-123.5,0,1.4
2017-06-03,16.5,-123.25,0,1.4
2017-06-03,16.5,-123.0,0,1.4
2017-06-03,16.5,-122.75,0,1.4
2017-06-03,16.5,-122.5,0,1.4
2017-06-03,16.5,-122.25,0,1.4
2017-06-03,16.5,-122.0,0,1.4
2017-06-03,16.5,-121.75,0,1.4
2017-06-03,16.5,-121.5,0,1.4
2017-06-03,16.5,-121.25,0,1.4
2017-06-03,16.5,-121.0,0,1.4
2017-06-03,16.5,-120.75,0,1.4
2017-06-03,16.5,-120.5,0,1.4
2017-06-03,16.5,-120.25,0,1.4
