time,lat,lon,adt,adt_std,chl,chl_std,prochloro,prochloro_std,synecho,synecho_std,picoeuk,picoeuk_std,margin
2013-03-26 16:00:00,-37.1046302075,-49.9002489575,0.287925,0.0771333301822,0.219294717768,0.0140549033319,89.3873408481,48.9734632473,14.0095716519,3.53700803123,4.99458463625,1.69821603767,0.5
2013-03-26 17:00:00,-37.1009508335,-49.904985,0.287925,0.0771333301822,0.217903807242,0.0148244573514,166.962472842,1.143566137,19.1813802453,0.487083681569,7.21285537695,0.398434098255,0.5
2013-03-26 18:00:00,-37.123736668,-49.814793334,0.24259375,0.0675544823527,0.221056525544,0.0132610106658,162.593979337,5.47385741834,20.8176902342,1.91174692263,6.56657440453,0.871310799432,0.5
2013-03-26 19:00:00,-37.1684175437,-49.5907526321,0.25988125,0.0912150290437,0.22565830292,0.0103340437499,191.115967711,15.3230549409,22.3899226532,1.91252140343,8.55627657647,0.752780283105,0.5
2013-03-26 20:00:00,-37.2067575,-49.361159166,0.31208125,0.13360191437,0.222871499886,0.0136861267711,224.724952565,8.07682319835,20.9433678775,2.82220875833,7.9788367902,0.573372180789,0.5
2013-03-26 21:00:00,-37.2558816675,-49.1238375,0.40533125,0.15908811913,0.214232426188,0.0203099005776,222.00688069,3.98925941146,31.250241548,5.66746496347,9.8538608365,1.26778525892,0.5
2013-03-26 22:00:00,-37.305674999,-48.8789950005,0.40533125,0.15908811913,0.198285716224,0.0281632958808,218.27864424,12.0557432155,24.010549006,8.26599469685,8.7992386112,1.80912026205,0.5
2013-03-26 23:00:00,-37.352565833,-48.6287674995,0.5150625,0.1524563293,0.17630379171,0.0287224021408,188.005458975,17.1329530004,13.2918183548,1.5426756858,5.70220784375,0.467014519377,0.5
2013-03-27 00:00:00,-37.389213334,-48.382352501,0.70805625,0.121635598042,0.143178282991,0.0140435209291,184.76174977,7.92276618793,15.583116528,3.41400121194,7.46708585235,1.77368152581,0.5
2013-03-27 01:00:00,-37.4277666665,-48.140474167,0.785875,0.106713128878,0.149264432218,0.0210523099992,172.36606822,2.21127992708,22.340659693,6.00324937857,7.81658837395,1.50585565339,0.5
2013-03-27 02:00:00,-37.472000833,-47.9033508335,0.8543125,0.105651442696,0.159050019548,0.0261863527802,172.29182624,2.27462090843,30.970717111,3.08855955738,8.1064142914,0.799750511381,0.5
2013-03-27 03:00:00,-37.5135266665,-47.6719800005,0.91769375,0.110478394204,0.172313831242,0.024215050788,176.45288861,2.50824994917,28.221987977,6.48550344964,11.3922475106,2.1617063989,0.5
2013-03-27 04:00:00,-37.5569925,-47.469460833,0.97175625,0.117702787609,0.177766129142,0.0219727781586,181.90391629,17.2026491849,30.775880508,7.1382042235,15.2387830484,4.59368673904,0.5
2013-03-27 05:00:00,-37.6035725005,-47.240821667,1.00811875,0.128623370829,0.1757222577,0.0213167738558,184.96382126,6.34623919816,26.7452737465,5.36862138377,18.8770105055,6.33117497053,0.5
2013-03-27 06:00:00,-37.638405,-47.011480834,1.12985625,0.108095790672,0.169474323203,0.024109961635,178.23188871,3.10427710996,24.1512521245,1.3215690729,18.9384213285,4.05944055641,0.5
2013-03-27 07:00:00,-37.675036667,-46.784921667,1.12405625,0.110994785738,0.163658103311,0.0234660302849,180.961285085,5.37140914046,28.2304593575,2.58595226206,20.314993219,5.90567280538,0.5
2013-03-27 08:00:00,-37.718124167,-46.559665001,1.09133125,0.115863619823,0.160127858942,0.0204732175713,181.145894455,15.2175304696,30.7318801705,2.89007875605,9.85797512095,1.03272918501,0.5
2013-03-27 09:00:00,-37.7584866665,-46.330274166,1.0395125,0.115781917171,0.159134770252,0.0176627745369,189.798624805,2.85662652018,32.015086926,1.14933870542,9.57365547535,0.322452243233,0.5
2013-03-27 10:00:00,-37.798197501,-46.1460274995,1.0395125,0.115781917171,0.161120970009,0.0201129434492,183.595268105,2.25030639829,31.368143295,0.914146152828,8.34285130165,0.310860839734,0.5
2013-03-27 11:00:00,-37.829723334,-45.909379167,0.9765625,0.109844702165,0.169806327205,0.0346607960319,177.67951445,6.79826975798,29.290668364,3.33692534726,9.76110393605,1.42053876509,0.5
2013-03-27 12:00:00,-37.877008333,-45.668781667,0.9456875,0.104167268582,0.185966099871,0.0550140891057,174.84573381,3.87314540864,27.0725992165,1.61955603435,10.8000184085,1.19128588219,0.5
2013-03-27 13:00:00,-37.9178566665,-45.427095833,0.857175,0.110037962199,0.220531734431,0.0924689468857,169.541868495,14.022357447,30.6257230365,3.88850266717,14.5751422361,4.03239114795,0.5
2013-03-27 14:00:00,-37.9632366675,-45.1815725,0.76636875,0.118185646965,0.294325453436,0.15321936678,167.965592225,1.33037286903,28.974373554,2.33102482816,20.228249634,1.85660469588,0.5
2013-03-27 15:00:00,-37.9933649995,-45.0069275,0.67985,0.128783709179,0.359130599691,0.185188315837,167.39144221,2.2916294146,28.576546434,1.52815562096,16.160140177,0.757493919781,0.5
2013-03-27 16:00:00,-37.991707499,-44.9984675005,0.67985,0.128783709179,0.359130599691,0.185188315837,164.72784117,0.972367838162,27.3053013025,0.758800387178,15.593245639,0.560211939825,0.5
2013-03-27 17:00:00,-37.9766100005,-44.992780834,0.67985,0.128783709179,0.366233197946,0.184137265446,165.304634455,1.07672484325,26.0525250115,0.761757044392,15.111010306,0.349153106707,0.5
2013-03-27 18:00:00,-37.9648375,-44.987045833,0.67985,0.128783709179,0.366233197946,0.184137265446,160.300191163,4.71220276987,24.7705882484,1.08051229743,14.8652447316,0.649224255558,0.5
