time,lat,lon,adt
2016-02-04,22.375,-145.625,1.1197
2016-02-04,22.375,-145.375,1.1252
2016-02-04,22.375,-145.125,1.1368
2016-02-04,22.375,-144.875,1.1257
2016-02-04,22.375,-144.625,1.0922
2016-02-04,22.375,-144.375,1.0561
2016-02-04,22.375,-144.125,1.0353
2016-02-04,22.375,-143.875,1.0387
2016-02-04,22.375,-143.625,1.0618
2016-02-04,22.625,-161.125,1.0541
2016-02-04,22.625,-160.875,1.0766
2016-02-04,22.625,-160.625,1.0941
2016-02-04,22.625,-160.375,1.1012
2016-02-04,22.625,-160.125,1.105
2016-02-04,22.625,-159.875,1.1057
2016-02-04,22.625,-159.625,1.0966
2016-02-04,22.625,-159.375,1.0833
2016-02-04,22.625,-159.125,1.0815
2016-02-04,22.625,-158.875,1.091
2016-02-04,22.625,-158.625,1.0987
2016-02-04,22.625,-158.375,1.1076
2016-02-04,22.625,-158.125,1.126
2016-02-04,22.625,-157.875,1.1394
2016-02-04,22.625,-157.625,1.1285
2016-02-04,22.625,-157.375,1.1022
2016-02-04,22.625,-157.125,1.086
2016-02-04,22.625,-156.875,1.0805
2016-02-04,22.625,-156.625,1.0649
2016-02-04,22.625,-156.375,1.0357
2016-02-04,22.625,-156.125,1.0133
2016-02-04,22.625,-155.875,1.0008
2016-02-04,22.625,-155.625,0.9806
2016-02-04,22.625,-155.375,0.9631
2016-02-04,22.625,-155.125,0.9826
2016-02-04,22.625,-154.875,1.0328
2016-02-04,22.625,-154.625,1.0659
2016-02-04,22.625,-154.375,1.064
2016-02-04,22.625,-154.125,1.0559
2016-02-04,22.625,-153.875,1.0655
2016-02-04,22.625,-153.625,1.0807
2016-02-04,22.625,-153.375,1.0892
2016-02-04,22.625,-153.125,1.1116
2016-02-04,22.625,-152.875,1.1547
2016-02-04,22.625,-152.625,1.1762
2016-02-04,22.625,-152.375,1.1483
2016-02-04,22.625,-152.125,1.0987
2016-02-04,22.625,-151.875,1.0607
2016-02-04,22.625,-151.625,1.0318
2016-02-04,22.625,-151.375,1.0044
2016-02-04,22.625,-151.125,0.9867
2016-02-04,22.625,-150.875,0.9801
2016-02-04,22.625,-150.625,0.9745
2016-02-04,22.625,-150.375,0.9655
2016-02-04,22.625,-150.125,0.9584
2016-02-04,22.625,-149.875,0.9582
2016-02-04,22.625,-149.625,0.966
2016-02-04,22.625,-149.375,0.9857
2016-02-04,22.625,-149.125,1.0252
2016-02-04,22.625,-148.875,1.0763
2016-02-04,22.625,-148.625,1.1102
2016-02-04,22.625,-148.375,1.1176
