time_X,NO3,NO3_std_X,time_Y,PO4,PO4_std_Y,lat1,lat2,lon1,lon2,depth,
2015-03-07,0.15723067873,0.444155654448,2015-03-07,0.240322918072,0.0418948599923,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-08,,,2015-03-08,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-09,,,2015-03-09,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-10,,,2015-03-10,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-11,,,2015-03-11,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-12,,,2015-03-12,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-13,,,2015-03-13,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-14,0.171649341098,0.473803313772,2015-03-14,0.242156953262,0.0430088028652,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-15,,,2015-03-15,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-16,,,2015-03-16,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-17,,,2015-03-17,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-18,,,2015-03-18,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-19,,,2015-03-19,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-20,,,2015-03-20,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-21,0.185229919249,0.499164598424,2015-03-21,0.244306994032,0.0443067953568,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-22,,,2015-03-22,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-23,,,2015-03-23,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-24,,,2015-03-24,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-25,,,2015-03-25,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-26,,,2015-03-26,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-27,,,2015-03-27,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-28,0.184551503533,0.504958063325,2015-03-28,0.245710304434,0.0454066381423,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-29,,,2015-03-29,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-30,,,2015-03-30,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-03-31,,,2015-03-31,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-04-01,,,2015-04-01,,,23.0,33.0,-160.0,-150.0,0.494024991989,
