time,lat,lon,synecho,synecho_std,margin
2016-04-22 15:00:00,28.1413446,-157.9996154,15.1355283195,0.776085955461,0.5
2016-04-22 16:00:00,28.13043945,-158.0014826,15.042093316,0.593295680135,0.5
2016-04-22 17:00:00,28.1174422,-158.0024693,14.6224126035,0.854470178339,0.5
2016-04-22 18:00:00,28.1025346,-158.00336325,14.0585846855,0.652452316323,0.5
2016-04-22 19:00:00,28.0866536,-158.00481005,13.1332913675,0.79218931331,0.5
2016-04-22 20:00:00,28.07204785,-158.00579805,13.002592343,0.591592865479,0.5
2016-04-22 21:00:00,28.0581829,-158.0083273,13.234851963,0.686887122099,0.5
2016-04-22 22:00:00,28.0442756,-158.01163025,12.4723011395,0.803528276311,0.5
2016-04-22 23:00:00,28.03226015,-158.0162634,11.666933624,0.762788271711,0.5
2016-04-23 00:00:00,28.05415685,-158.0152045,12.145881818,1.0134150868,0.5
2016-04-23 01:00:00,28.1329694,-158.00235495,12.2648186595,0.88618605475,0.5
2016-04-23 02:00:00,28.13933455,-158.0018964,11.776796134,0.747569892229,0.5
2016-04-23 03:00:00,28.14063405,-157.9984481,9.954712785,1.21899921018,0.5
2016-04-23 04:00:00,28.139768,-158.00427375,8.85900064045,0.616694294827,0.5
2016-04-23 05:00:00,28.1565099,-158.0018665,8.45379978315,0.598873876591,0.5
2016-04-23 06:00:00,28.2571790526,-157.997769263,9.68434962311,0.97293572794,0.5
2016-04-23 07:00:00,28.38784915,-157.99591165,9.63331367085,0.532684227187,0.5
2016-04-23 08:00:00,28.5232901,-157.9990201,9.59219557755,0.668408176409,0.5
2016-04-23 09:00:00,28.6657816,-158.00073215,8.71048572825,0.4685670073,0.5
2016-04-23 10:00:00,28.81002945,-158.00089655,9.1610026474,0.580884552062,0.5
2016-04-23 11:00:00,28.9551593,-157.99979315,10.8536791407,2.61516796159,0.5
2016-04-23 12:00:00,29.1007976,-157.99892075,18.005154439,1.01071360957,0.5
2016-04-23 13:00:00,29.2473175,-158.0006457,18.3620427255,0.862789966934,0.5
2016-04-23 14:00:00,29.39013615,-158.00079185,16.5229525165,2.17977444408,0.5
2016-04-23 15:00:00,29.4540027,-157.9946194,15.672307422,1.04714710338,0.5
2016-04-23 16:00:00,29.45196135,-158.0058867,15.9136926115,1.01321798815,0.5
2016-04-23 17:00:00,29.45131375,-158.0229101,15.799707393,0.993831150046,0.5
2016-04-23 18:00:00,29.46559495,-158.0359729,16.3377113445,1.15435721478,0.5
2016-04-23 19:00:00,29.5896016,-158.02394365,16.1696314155,0.774947380537,0.5
2016-04-23 20:00:00,29.73133075,-158.00533555,15.317518728,0.906754062106,0.5
2016-04-23 21:00:00,29.87679715,-157.99969085,12.9398992535,1.15601701298,0.5
2016-04-23 22:00:00,30.0273179,-157.99739475,12.8892300405,0.708947234064,0.5
2016-04-23 23:00:00,30.17941145,-157.9976982,12.0014929975,0.671010817114,0.5
2016-04-24 00:00:00,30.3297204,-157.99191555,12.2475877455,1.08530414326,0.5
2016-04-24 01:00:00,30.4750068,-157.9959464,13.5102117085,1.37110425787,0.5
2016-04-24 02:00:00,30.62658075,-157.99629275,13.2668334116,4.52806127896,0.5
2016-04-24 03:00:00,30.78256405,-157.9996499,54.070168388,13.0470580768,0.5
2016-04-24 04:00:00,30.9386875,-157.9988402,47.800776173,7.74212994556,0.5
2016-04-24 05:00:00,31.0951303,-157.99859295,41.570296672,10.423771943,0.5
2016-04-24 06:00:00,31.2510926,-158.00188435,46.5103163625,5.27413083365,0.5
2016-04-24 07:00:00,31.40313025,-158.00442875,53.8079767285,15.8011452288,0.5
2016-04-24 08:00:00,31.5581058,-158.0064758,80.4777751695,17.1649446761,0.5
2016-04-24 09:00:00,31.7150703,-158.00934685,20.1956425795,5.93972054398,0.5
