time,lat,lon,sst
2016-02-04,22.375,-147.125,23.909993362
2016-02-04,22.375,-146.875,23.849993363
2016-02-04,22.375,-146.625,23.859993363
2016-02-04,22.375,-146.375,23.869993363
2016-02-04,22.375,-146.125,23.859993363
2016-02-04,22.375,-145.875,23.799993365
2016-02-04,22.375,-145.625,23.709993367
2016-02-04,22.375,-145.375,23.609993369
2016-02-04,22.375,-145.125,23.54999337
2016-02-04,22.375,-144.875,23.499993371
2016-02-04,22.375,-144.625,23.439993373
2016-02-04,22.375,-144.375,23.399993373
2016-02-04,22.375,-144.125,23.349993375
2016-02-04,22.375,-143.875,23.349993375
2016-02-04,22.375,-143.625,23.329993375
2016-02-04,22.625,-161.125,24.379993352
2016-02-04,22.625,-160.875,24.489993349
2016-02-04,22.625,-160.625,24.539993348
2016-02-04,22.625,-160.375,24.579993347
2016-02-04,22.625,-160.125,24.629993346
2016-02-04,22.625,-159.875,24.659993345
2016-02-04,22.625,-159.625,24.599993347
2016-02-04,22.625,-159.375,24.519993348
2016-02-04,22.625,-159.125,24.42999335
2016-02-04,22.625,-158.875,24.309993353
2016-02-04,22.625,-158.625,24.199993356
2016-02-04,22.625,-158.375,24.159993356
2016-02-04,22.625,-158.125,24.179993356
2016-02-04,22.625,-157.875,24.229993355
2016-02-04,22.625,-157.625,24.269993354
2016-02-04,22.625,-157.375,24.269993354
2016-02-04,22.625,-157.125,24.229993355
2016-02-04,22.625,-156.875,24.139993357
2016-02-04,22.625,-156.625,23.98999336
2016-02-04,22.625,-156.375,23.859993363
2016-02-04,22.625,-156.125,23.839993364
2016-02-04,22.625,-155.875,23.939993361
2016-02-04,22.625,-155.625,24.079993358
2016-02-04,22.625,-155.375,24.119993357
2016-02-04,22.625,-155.125,24.059993359
2016-02-04,22.625,-154.875,23.949993361
2016-02-04,22.625,-154.625,23.909993362
2016-02-04,22.625,-154.375,23.959993361
2016-02-04,22.625,-154.125,24.029993359
2016-02-04,22.625,-153.875,24.059993359
2016-02-04,22.625,-153.625,24.069993358
2016-02-04,22.625,-153.375,24.099993358
2016-02-04,22.625,-153.125,24.149993357
2016-02-04,22.625,-152.875,24.239993355
2016-02-04,22.625,-152.625,24.289993354
2016-02-04,22.625,-152.375,24.209993355
2016-02-04,22.625,-152.125,24.01999336
2016-02-04,22.625,-151.875,23.799993365
2016-02-04,22.625,-151.625,23.629993368
2016-02-04,22.625,-151.375,23.519993371
2016-02-04,22.625,-151.125,23.479993372
2016-02-04,22.625,-150.875,23.509993371
2016-02-04,22.625,-150.625,23.55999337
2016-02-04,22.625,-150.375,23.619993369
2016-02-04,22.625,-150.125,23.659993368
2016-02-04,22.625,-149.875,23.669993367
2016-02-04,22.625,-149.625,23.679993367
2016-02-04,22.625,-149.375,23.679993367
2016-02-04,22.625,-149.125,23.729993366
2016-02-04,22.625,-148.875,23.829993364
2016-02-04,22.625,-148.625,23.939993361
2016-02-04,22.625,-148.375,23.99999336
2016-02-04,22.625,-148.125,24.01999336
2016-02-04,22.625,-147.875,23.98999336
2016-02-04,22.625,-147.625,23.919993362
2016-02-04,22.625,-147.375,23.829993364
2016-02-04,22.625,-147.125,23.759993365
2016-02-04,22.625,-146.875,23.729993366
2016-02-04,22.625,-146.625,23.739993366
2016-02-04,22.625,-146.375,23.769993365
2016-02-04,22.625,-146.125,23.789993365
2016-02-04,22.625,-145.875,23.739993366
2016-02-04,22.625,-145.625,23.649993368
2016-02-04,22.625,-145.375,23.55999337
2016-02-04,22.625,-145.125,23.519993371
2016-02-04,22.625,-144.875,23.459993372
2016-02-04,22.625,-144.625,23.429993373
2016-02-04,22.625,-144.375,23.349993375
2016-02-04,22.625,-144.125,23.269993376
2016-02-04,22.625,-143.875,23.259993377
2016-02-04,22.625,-143.625,23.239993377
2016-02-04,22.875,-161.125,24.249993354
2016-02-04,22.875,-160.875,24.389993351
2016-02-04,22.875,-160.625,24.45999335
2016-02-04,22.875,-160.375,24.46999335
2016-02-04,22.875,-160.125,24.46999335
2016-02-04,22.875,-159.875,24.479993349
2016-02-04,22.875,-159.625,24.45999335
2016-02-04,22.875,-159.375,24.419993351
2016-02-04,22.875,-159.125,24.349993352
2016-02-04,22.875,-158.875,24.239993355
2016-02-04,22.875,-158.625,24.129993357
2016-02-04,22.875,-158.375,24.069993358
2016-02-04,22.875,-158.125,24.089993358
2016-02-04,22.875,-157.875,24.199993356
2016-02-04,22.875,-157.625,24.279993354
2016-02-04,22.875,-157.375,24.269993354
2016-02-04,22.875,-157.125,24.219993355
2016-02-04,22.875,-156.875,24.139993357
2016-02-04,22.875,-156.625,23.99999336
2016-02-04,22.875,-156.375,23.889993363
2016-02-04,22.875,-156.125,23.859993363
2016-02-04,22.875,-155.875,23.949993361
2016-02-04,22.875,-155.625,24.079993358
2016-02-04,22.875,-155.375,24.089993358
2016-02-04,22.875,-155.125,23.969993361
2016-02-04,22.875,-154.875,23.819993364
2016-02-04,22.875,-154.625,23.749993366
2016-02-04,22.875,-154.375,23.789993365
2016-02-04,22.875,-154.125,23.879993363
2016-02-04,22.875,-153.875,23.949993361
2016-02-04,22.875,-153.625,23.98999336
2016-02-04,22.875,-153.375,24.049993359
2016-02-04,22.875,-153.125,24.109993358
2016-02-04,22.875,-152.875,24.189993356
2016-02-04,22.875,-152.625,24.229993355
2016-02-04,22.875,-152.375,24.149993357
2016-02-04,22.875,-152.125,23.97999336
2016-02-04,22.875,-151.875,23.779993365
2016-02-04,22.875,-151.625,23.629993368
2016-02-04,22.875,-151.375,23.489993371
2016-02-04,22.875,-151.125,23.379993374
2016-02-04,22.875,-150.875,23.349993375
2016-02-04,22.875,-150.625,23.359993374
2016-02-04,22.875,-150.375,23.429993373
2016-02-04,22.875,-150.125,23.499993371
2016-02-04,22.875,-149.875,23.529993371
2016-02-04,22.875,-149.625,23.54999337
2016-02-04,22.875,-149.375,23.619993369
2016-02-04,22.875,-149.125,23.719993366
2016-02-04,22.875,-148.875,23.859993363
2016-02-04,22.875,-148.625,23.959993361
2016-02-04,22.875,-148.375,23.98999336
2016-02-04,22.875,-148.125,23.969993361
2016-02-04,22.875,-147.875,23.909993362
2016-02-04,22.875,-147.625,23.809993364
2016-02-04,22.875,-147.375,23.709993367
2016-02-04,22.875,-147.125,23.629993368
2016-02-04,22.875,-146.875,23.619993369
2016-02-04,22.875,-146.625,23.669993367
2016-02-04,22.875,-146.375,23.739993366
2016-02-04,22.875,-146.125,23.739993366
2016-02-04,22.875,-145.875,23.679993367
2016-02-04,22.875,-145.625,23.579993369
2016-02-04,22.875,-145.375,23.489993371
2016-02-04,22.875,-145.125,23.469993372
2016-02-04,22.875,-144.875,23.459993372
2016-02-04,22.875,-144.625,23.359993374
2016-02-04,22.875,-144.375,23.249993377
2016-02-04,22.875,-144.125,23.179993378
2016-02-04,22.875,-143.875,23.139993379
2016-02-04,22.875,-143.625,23.11999338
2016-02-04,23.125,-161.125,24.209993355
2016-02-04,23.125,-160.875,24.359993352
2016-02-04,23.125,-160.625,24.42999335
2016-02-04,23.125,-160.375,24.42999335
2016-02-04,23.125,-160.125,24.419993351
2016-02-04,23.125,-159.875,24.399993351
2016-02-04,23.125,-159.625,24.369993352
2016-02-04,23.125,-159.375,24.349993352
2016-02-04,23.125,-159.125,24.319993353
2016-02-04,23.125,-158.875,24.219993355
2016-02-04,23.125,-158.625,24.079993358
2016-02-04,23.125,-158.375,23.969993361
2016-02-04,23.125,-158.125,23.969993361
2016-02-04,23.125,-157.875,24.089993358
2016-02-04,23.125,-157.625,24.239993355
2016-02-04,23.125,-157.375,24.269993354
2016-02-04,23.125,-157.125,24.239993355
2016-02-04,23.125,-156.875,24.159993356
2016-02-04,23.125,-156.625,24.00999336
2016-02-04,23.125,-156.375,23.849993363
2016-02-04,23.125,-156.125,23.759993365
2016-02-04,23.125,-155.875,23.809993364
2016-02-04,23.125,-155.625,23.909993362
2016-02-04,23.125,-155.375,23.939993361
2016-02-04,23.125,-155.125,23.849993363
2016-02-04,23.125,-154.875,23.709993367
2016-02-04,23.125,-154.625,23.609993369
2016-02-04,23.125,-154.375,23.619993369
2016-02-04,23.125,-154.125,23.719993366
2016-02-04,23.125,-153.875,23.819993364
2016-02-04,23.125,-153.625,23.889993363
2016-02-04,23.125,-153.375,23.949993361
2016-02-04,23.125,-153.125,24.029993359
2016-02-04,23.125,-152.875,24.099993358
2016-02-04,23.125,-152.625,24.119993357
2016-02-04,23.125,-152.375,24.079993358
2016-02-04,23.125,-152.125,23.98999336
2016-02-04,23.125,-151.875,23.859993363
2016-02-04,23.125,-151.625,23.749993366
2016-02-04,23.125,-151.375,23.599993369
2016-02-04,23.125,-151.125,23.419993373
2016-02-04,23.125,-150.875,23.299993376
2016-02-04,23.125,-150.625,23.259993377
2016-02-04,23.125,-150.375,23.299993376
2016-02-04,23.125,-150.125,23.399993373
2016-02-04,23.125,-149.875,23.439993373
2016-02-04,23.125,-149.625,23.479993372
2016-02-04,23.125,-149.375,23.579993369
2016-02-04,23.125,-149.125,23.729993366
2016-02-04,23.125,-148.875,23.859993363
2016-02-04,23.125,-148.625,23.949993361
2016-02-04,23.125,-148.375,23.959993361
2016-02-04,23.125,-148.125,23.909993362
2016-02-04,23.125,-147.875,23.829993364
2016-02-04,23.125,-147.625,23.739993366
2016-02-04,23.125,-147.375,23.649993368
2016-02-04,23.125,-147.125,23.589993369
2016-02-04,23.125,-146.875,23.609993369
2016-02-04,23.125,-146.625,23.669993367
2016-02-04,23.125,-146.375,23.719993366
