time_X,sst,sst_std_X,time_Y,Si,Si_std_Y,lat1,lat2,lon1,lon2,,depth
2015-02-17,6.36003125433,1.27068099668,2015-02-17,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-02-18,6.29699375574,1.18860882177,2015-02-18,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-02-19,6.26422500647,1.28114159563,2015-02-19,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-02-20,6.14266875918,1.4803791991,2015-02-20,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-02-21,6.20775625774,1.40004995212,2015-02-21,19.6116449763,2.97946739379,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-02-22,6.32963750501,1.31502620394,2015-02-22,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-02-23,6.33703750485,1.23551155818,2015-02-23,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-02-24,6.27291875628,1.26882576491,2015-02-24,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-02-25,6.21686250753,1.41972926546,2015-02-25,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-02-26,6.19300625807,1.49796641792,2015-02-26,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-02-27,6.25980625658,1.52560243022,2015-02-27,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-02-28,6.43353125269,1.35143905585,2015-02-28,19.5331002709,2.97212548987,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-01,6.60178124892,1.34084750047,2015-03-01,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-02,6.65716874768,1.24231907067,2015-03-02,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-03,6.73851874587,1.22064547164,2015-03-03,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-04,6.72916249608,1.23305969086,2015-03-04,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-05,6.70549999661,1.21981469686,2015-03-05,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-06,6.79699999457,1.15672427445,2015-03-06,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-07,6.83208124378,1.16972068686,2015-03-07,19.4690388011,2.98378527331,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-08,6.72412499619,1.2827040297,2015-03-08,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-09,6.66454374753,1.34800047556,2015-03-09,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-10,6.55912499988,1.34789929034,2015-03-10,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-11,6.49678125127,1.34453610397,2015-03-11,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-12,6.62885624831,1.37386095747,2015-03-12,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-13,6.5044250011,1.3834655133,2015-03-13,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-14,6.50167500116,1.33067801207,2015-03-14,19.5756826336,3.07148831064,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-15,6.5760624995,1.36772610412,2015-03-15,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-16,6.5900812492,1.42300140021,2015-03-16,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-17,6.48909375144,1.37132898878,2015-03-17,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-18,6.44130000252,1.34599729504,2015-03-18,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-19,6.36940000411,1.34474173566,2015-03-19,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-03-20,6.34008125477,1.2999007195,2015-03-20,,,43.0,53.0,-160.0,-150.0,,0.494024991989
