time,lat,lon,sst,margin
2017-04-30,19.125,-159.125,26.189993311,0.2
2017-04-30,19.125,-158.125,26.25999331,0.2
2017-04-30,19.125,-157.875,26.059993314,0.2
2017-04-30,19.125,-156.125,25.34999333,0.2
2017-04-30,19.125,-155.875,25.32999333,0.2
2017-04-30,19.125,-153.625,25.649993323,0.2
2017-04-30,19.125,-152.875,25.659993323,0.2
2017-04-30,19.125,-152.625,25.639993323,0.2
2017-04-30,19.125,-152.375,25.589993325,0.2
2017-04-30,19.125,-152.125,25.459993327,0.2
2017-04-30,19.125,-151.875,25.34999333,0.2
2017-04-30,19.125,-151.625,25.309993331,0.2
2017-04-30,19.125,-151.375,25.319993331,0.2
2017-04-30,19.125,-151.125,25.379993329,0.2
2017-04-30,19.125,-150.875,25.469993327,0.2
2017-04-30,19.125,-149.875,25.469993327,0.2
2017-04-30,19.125,-149.625,25.389993329,0.2
2017-04-30,19.125,-147.375,24.90999334,0.2
2017-04-30,19.125,-147.125,24.929993339,0.2
2017-04-30,19.125,-145.875,25.109993335,0.2
2017-04-30,19.375,-162.125,25.919993317,0.2
2017-04-30,19.375,-161.875,25.979993316,0.2
2017-04-30,19.375,-161.625,26.009993315,0.2
2017-04-30,19.375,-161.375,26.029993315,0.2
2017-04-30,19.375,-161.125,26.039993314,0.2
2017-04-30,19.375,-160.875,26.039993314,0.2
2017-04-30,19.375,-159.625,26.049993314,0.2
2017-04-30,19.375,-159.375,26.079993314,0.2
2017-04-30,19.375,-159.125,26.149993312,0.2
2017-04-30,19.375,-157.875,26.179993311,0.2
2017-04-30,19.375,-157.625,25.969993316,0.2
2017-04-30,19.375,-153.625,25.599993324,0.2
2017-04-30,19.375,-151.125,25.269993332,0.2
2017-04-30,19.375,-150.875,25.33999333,0.2
2017-04-30,19.375,-146.125,25.179993334,0.2
2017-04-30,19.375,-145.875,25.189993333,0.2
2017-04-30,19.625,-162.375,25.829993319,0.2
2017-04-30,19.625,-162.125,25.919993317,0.2
2017-04-30,19.625,-161.875,25.999993315,0.2
2017-04-30,19.625,-161.625,26.029993315,0.2
2017-04-30,19.625,-161.375,26.029993315,0.2
2017-04-30,19.625,-161.125,26.029993315,0.2
2017-04-30,19.625,-160.375,25.949993316,0.2
2017-04-30,19.625,-160.125,25.979993316,0.2
2017-04-30,19.625,-159.625,26.019993315,0.2
