time,lat,lon,sst,sst_std,chl01_darwin_clim,chl01_darwin_clim_std,CDOM_darwin_clim,CDOM_darwin_clim_std,picoeuk,picoeuk_std,margin
2016-04-20 00:00:00,21.8753045556,-158.30226599,24.7237433438,0.351707878854,0.006470857175,0.000210390143276,3.09030475e-05,9.50743086498e-07,6.16007727803,0.842553015688,0.5
2016-04-20 06:00:00,22.6981085508,-158.21334611,24.1356183569,0.157081533789,0.0062522287,0.000327142053622,2.998479475e-05,1.48846165325e-06,7.61540393886,1.2745830495,0.5
2016-04-20 12:00:00,23.3938608083,-158.011134175,23.4949933713,0.343965833671,0.005295887175,0.000213349087854,2.513185675e-05,1.20305401336e-06,10.5349801373,1.21355458059,0.5
2016-04-20 18:00:00,23.5697757583,-157.955360317,23.4949933713,0.343965833671,0.005295887175,0.000213349087854,2.513185675e-05,1.20305401336e-06,8.47998974172,0.969506119783,0.5
2016-04-21 00:00:00,23.586659975,-157.941856075,23.467493372,0.353597574088,0.005295887175,0.000213349087854,2.513185675e-05,1.20305401336e-06,6.80351190453,0.453683936007,0.5
2016-04-21 06:00:00,23.8293889167,-157.958552425,23.2599933766,0.283923398818,0.00488789655,0.000199911067666,2.2862315e-05,1.09893498909e-06,9.50360161087,1.72510784337,0.5
2016-04-21 12:00:00,24.6519261583,-157.998373267,22.8393683861,0.170787464558,0.0044929354,0.000196469602168,2.070384625e-05,1.07093173541e-06,11.025896826,1.05590792919,0.5
2016-04-21 18:00:00,25.4942525083,-157.999309367,22.0712434033,0.498508702406,0.004023006575,7.64222617036e-05,1.80416665e-05,4.37648674184e-07,10.0537803545,1.16784241817,0.5
2016-04-22 00:00:00,26.3898537778,-157.999796308,21.6874934117,0.252400965034,0.00409059885,7.49130962407e-05,1.880659025e-05,6.09557895538e-07,10.468537565,1.31573528141,0.5
2016-04-22 06:00:00,27.2844484454,-157.999934941,21.4631184166,0.380964536241,0.004676530075,0.000207908242151,2.35470185e-05,1.71932593691e-06,12.2452169811,1.52774807403,0.5
2016-04-22 12:00:00,28.0298904083,-158.00081135,20.9862434274,0.48851655734,0.005137642825,0.000253511436004,2.7399025e-05,2.1352286497e-06,11.5575608249,1.02182347678,0.5
2016-04-22 18:00:00,28.06599245,-158.008365383,20.9862434274,0.48851655734,0.005137642825,0.000253511436004,2.7399025e-05,2.1352286497e-06,9.78194494238,1.03357071996,0.5
2016-04-23 00:00:00,28.1272287917,-158.004007367,20.8856184296,0.384788387,0.005137642825,0.000253511436004,2.7399025e-05,2.1352286497e-06,8.5971611359,0.574260107233,0.5
2016-04-23 06:00:00,28.6027612941,-157.999030992,20.8131184311,0.366822816056,0.0057397182,0.000349424485853,3.2582845e-05,3.05649883138e-06,9.76853539746,1.20207905388,0.5
2016-04-23 12:00:00,29.3492548417,-158.003962417,20.3706184412,0.317696167473,0.0073922595,0.000547158658682,4.775932275e-05,5.44154489246e-06,13.4438671365,1.08943042881,0.5
2016-04-23 18:00:00,29.8116756333,-158.010005983,20.0718684479,0.219408824459,0.0085475585,0.000612658179852,6.000004175e-05,6.84805808584e-06,11.194585987,1.22800596037,0.5
2016-04-24 00:00:00,30.7079483,-157.996872958,19.1768684679,0.681823997663,0.00993868225,0.00078444171958,7.733205775e-05,1.05598381571e-05,15.1676656039,3.6367941917,0.5
2016-04-24 06:00:00,31.6365374667,-158.003676233,17.6443685022,0.529149881271,0.013573361875,0.00102965104275,0.000144034165,2.24408699246e-05,23.479890749,13.8730485156,0.5
2016-04-24 12:00:00,32.4618551228,-157.99441814,16.6681185241,0.758231632691,0.017437721,0.00090293640463,0.0002733759425,3.78022321508e-05,58.1964727908,8.19199438777,0.5
2016-04-24 18:00:00,32.6643587917,-157.960742958,16.2149935341,0.711986641315,0.017437721,0.00090293640463,0.0002733759425,3.78022321508e-05,40.4391634599,10.8200813871,0.5
2016-04-25 00:00:00,32.6919270917,-157.978382633,16.6306185248,0.870886516983,0.017437721,0.00090293640463,0.0002733759425,3.78022321508e-05,28.2356517299,2.66831116407,0.5
2016-04-25 06:00:00,33.1552017143,-157.999582588,15.2562435555,0.764443203533,0.01886636,0.000531075540288,0.0003504035725,3.97695877256e-05,53.2768350708,13.2779748808,0.5
2016-04-25 12:00:00,33.9567707143,-158.002444521,14.3062435767,0.195635977846,0.020477097,0.000266723935866,0.00050751789,3.95505453227e-05,50.5269102487,8.64990934395,0.5
2016-04-25 18:00:00,34.707938675,-157.998925158,14.1843685795,0.228745725855,0.02074755275,1.55359067063e-05,0.000584762685,3.88035773016e-05,57.5428174835,11.5362185001,0.5
2016-04-26 00:00:00,35.5583291167,-158.003155775,14.3062435767,0.257703190769,0.0202050585,0.000341813924639,0.000727507325,3.17323772282e-05,63.7170027141,9.84738397633,0.5
2016-04-26 06:00:00,36.4840634202,-157.993436462,12.8787436087,0.664622763541,0.0186710735,0.000429788612867,0.000838207805,2.57671527065e-05,82.0529030158,15.7129807745,0.5
2016-04-26 12:00:00,37.220755925,-157.991789525,11.9974936283,0.232499994885,0.01777951925,0.000472776677862,0.0008826886775,2.09173264549e-05,130.034607237,22.4047969677,0.5
2016-04-26 18:00:00,37.687797325,-157.999949533,11.7962436328,0.277913537008,0.0168402935,0.00048124973261,0.000920097195,1.84905463134e-05,142.857880288,12.5616824619,0.5
2016-04-27 00:00:00,37.537927175,-157.999153892,11.8631186312,0.197759911508,0.0168402935,0.00048124973261,0.000920097195,1.84905463134e-05,140.407171585,10.4026199265,0.5
